lang,system,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio
de-ja,human,39,26,0.6666666666666666,0.1089970031992053,0,26,0.0,0.6666666666666666
de-ja,gpt4,37,14,0.3783783783783784,0.13632907904757868,0,14,0.0,0.3783783783783784
de-ja,llama,38,18,0.47368421052631576,0.13451316519525292,1,17,0.02631578947368421,0.4473684210526316
pl-ja,gpt3,67,20,0.29850746268656714,0.19831737214157583,9,11,0.13432835820895522,0.16417910447761194
pl-ja,human,69,17,0.2463768115942029,0.19461066405107322,10,7,0.14492753623188406,0.10144927536231885
pl-ja,gpt4,77,11,0.14285714285714285,0.24245586966512506,4,7,0.05194805194805195,0.09090909090909091
pl-ja,llama,59,18,0.3050847457627119,0.1680964433837451,13,5,0.22033898305084745,0.0847457627118644
de-pl,gpt3,66,12,0.18181818181818182,0.10936928271615208,5,7,0.07575757575757576,0.10606060606060606
de-pl,human,68,15,0.22058823529411764,0.16115825232541584,3,12,0.04411764705882353,0.17647058823529413
de-pl,gpt4,67,8,0.11940298507462686,0.15648692929458918,3,5,0.04477611940298507,0.07462686567164178
de-pl,llama,65,8,0.12307692307692308,0.13086065298365668,5,3,0.07692307692307693,0.046153846153846156
fr-en,gpt3,56,1,0.017857142857142856,0.17502760114063218,1,0,0.017857142857142856,0.0
fr-en,human,57,5,0.08771929824561403,0.13819480916154533,0,5,0.0,0.08771929824561403
fr-en,gpt4,56,3,0.05357142857142857,0.17845645964027132,1,2,0.017857142857142856,0.03571428571428571
fr-en,llama,53,3,0.05660377358490566,0.17985045112838954,3,0,0.05660377358490566,0.0
pl-en,gpt3,69,1,0.014492753623188406,0.2054422001247639,0,1,0.0,0.014492753623188406
pl-en,human,66,6,0.09090909090909091,0.1684316811990868,1,5,0.015151515151515152,0.07575757575757576
pl-en,gpt4,66,9,0.13636363636363635,0.1805177941875839,3,6,0.045454545454545456,0.09090909090909091
pl-en,llama,68,7,0.10294117647058823,0.17687010202175713,1,6,0.014705882352941176,0.08823529411764706
ru-ja,gpt3,77,14,0.18181818181818182,0.21362859275857599,9,5,0.11688311688311688,0.06493506493506493
ru-ja,human,83,15,0.18072289156626506,0.40238958530899605,8,7,0.0963855421686747,0.08433734939759036
ru-ja,gpt4,85,15,0.17647058823529413,0.25202430276725596,6,9,0.07058823529411765,0.10588235294117647
ru-ja,llama,69,21,0.30434782608695654,0.18489956365231322,14,7,0.2028985507246377,0.10144927536231885
ja-pl,gpt3,39,11,0.28205128205128205,0.14498812330234717,2,9,0.05128205128205128,0.23076923076923078
ja-pl,human,41,12,0.2926829268292683,0.13651619387941616,1,11,0.024390243902439025,0.2682926829268293
ja-pl,gpt4,42,6,0.14285714285714285,0.1256634024840479,0,6,0.0,0.14285714285714285
ja-pl,llama,36,13,0.3611111111111111,0.18118102411827722,3,10,0.08333333333333333,0.2777777777777778
ru-en,gpt3,67,3,0.04477611940298507,0.18884725884981662,3,0,0.04477611940298507,0.0
ru-en,human,67,5,0.07462686567164178,0.17356178603110067,3,2,0.04477611940298507,0.029850746268656716
ru-en,gpt4,65,6,0.09230769230769231,0.16932462411557672,5,1,0.07692307692307693,0.015384615384615385
ru-en,llama,65,5,0.07692307692307693,0.1961495174369267,5,0,0.07692307692307693,0.0
zh-ja,gpt3,86,22,0.2558139534883721,0.1457055767167138,3,19,0.03488372093023256,0.22093023255813954
zh-ja,human,90,22,0.24444444444444444,0.15037525305271737,2,20,0.022222222222222223,0.2222222222222222
zh-ja,gpt4,83,23,0.27710843373493976,0.21876508320303925,9,14,0.10843373493975904,0.1686746987951807
zh-ja,llama,91,10,0.10989010989010989,0.18567729072848285,1,9,0.01098901098901099,0.0989010989010989
ja-en,gpt3,40,8,0.2,0.21662139547759957,1,7,0.025,0.175
ja-en,human,40,10,0.25,0.17717936224420266,2,8,0.05,0.2
ja-en,gpt4,40,10,0.25,0.12924964091050506,1,9,0.025,0.225
ja-en,llama,37,8,0.21621621621621623,0.18656047055543865,2,6,0.05405405405405406,0.16216216216216217
en-de_news,gpt4,2084,181,0.08685220729366602,0.1924866770636082,124,57,0.05950095969289827,0.027351247600767754
en-de_news,human,2090,224,0.10717703349282297,0.19042036822405944,125,99,0.05980861244019139,0.04736842105263158
en-de_news,gpt3,2032,270,0.1328740157480315,0.19373799261456587,149,121,0.0733267716535433,0.05954724409448819
en-de_news,llama,1989,256,0.12870789341377575,0.18052317049691238,175,81,0.08798391151332328,0.04072398190045249
cs-pl,gpt3,50,0,0.0,0.10196963503750368,0,0,0.0,0.0
cs-pl,human,50,5,0.1,0.11549314325880972,0,5,0.0,0.1
cs-pl,gpt4,50,1,0.02,0.10402171037538639,0,1,0.0,0.02
cs-pl,llama,49,1,0.02040816326530612,0.11146865706822566,0,1,0.0,0.02040816326530612
