Source,GoogleTranslate,human1,human2,human3,human4
"Селифан оборотился было к дверям, с тем чтоб идти выполнить приказание, но остановился и сказал:","Selifan turned to the door in order to go to fulfill the order, but he stopped and said:","Selifan was turning towards the door to retire and carry out these instructions, but he stopped and said: “And another thing, sir, that dappled horse ought to be sold, for he is a regular rascal, Pavel Ivanovitch, please God","Turning towards the door, as though for the purpose of going and carrying out his orders, Selifan halted and added:","Selifan made as if to turn for the door, to go and carry out the order, but stopped and said:","Selifan was turning toward the door to go and carry out his orders, but stopped and said: “And another thing, sir, the piebald ought to be sold, really; he’s—he’s altogether a low-down creature, Pavel Ivanovich;"
"— Спутать, спутать, — и ничего больше, — отвечал философ, — ввести в это дело посторонние, другие обстоятельства, которые запутали бы сюда и других, сделать сложным — и ничего больше. И там пусть приезжий петербургский чиновник разбирает. Пусть разбирает, пусть его разбирает! — повторил он, смотря с необыкновенным удовольствием в глаза Чичикову, как смотрит учитель ученику, когда объясняет ему заманчивое место из русской грамматики.","“To confuse, to confuse,” answered the philosopher, “to introduce extraneous, other circumstances into this matter that would confuse here and others, to make it complicated, and nothing more. And there let the visiting St. Petersburg official sort it out. Let him take it apart, let him take it apart! he repeated, looking with unusual pleasure into Chichikov's eyes, as a teacher looks at a student when he explains to him a tempting passage from Russian grammar.","“Complicate it and nothing more,” answered the philosopher, “introduce into the case other extraneous circumstances which will bring other people into it; make it complicated and nothing more, and then let some official from Petersburg unravel it, let him unravel it, let him unravel it!” he repeated, looking into Tchitchikov’s eyes with peculiar pleasure, as a teacher looks at a pupil while explaining to him a tricky passage in the Russian grammar.","To abstain when every one else is indulging in these things, and fashion commands, is difficult indeed! Chichikov was for setting forth again, but the roads had now got into a bad state, and, in addition, there was in preparation a second fair—one for the dvoriane only. The former fair had been held for the sale of horses, cattle, cheese, and other peasant produce, and the buyers had been merely cattle-jobbers and kulaks; but this time the function was to be one for the sale of manorial produce which had been bought up by wholesale dealers at Nizhni Novgorod, and then transferred hither. To the fair, of course, came those ravishers of the Russian purse who, in the shape of Frenchmen with pomades and Frenchwomen with hats, make away with money earned by blood and hard work, and, like the locusts of Egypt (to use Kostanzhoglo’s term) not only devour their prey, but also dig holes in the ground and leave behind their eggs.","“To confuse, to confuse—nothing more,” the philosopher replied, “to introduce into the case some other, unrelated circumstances that will entangle other people in it, to make it complicated—nothing more. And then let some Petersburg official come and sort it out. Let him sort it out, just let him!” he repeated, looking into Chichikov’s eyes with extraordinary pleasure, the way a teacher looks into his pupil’s eyes while explaining some fascinating point in Russian grammar.",
"Слова эти и решимость на минуту успокоили Леницына. Он был очень взволнован и уже начинал было подозревать, не было ли со стороны Чичикова какой-нибудь фабрикации относительно завещания. Теперь укорил себя в подозрении. Готовность присягнуть была явным доказательством, что Чичиков невинен. Не знаем мы, точно ли достало бы духу у Павла Ивановича присягнуть на святом, но сказать это достало духа.","These words and determination calmed Lenin for a moment. He was very agitated and was already beginning to suspect that there was some fabrication on the part of Chichikov regarding the will. Now he reproached himself with suspicion. The readiness to swear was clear evidence that Chichikov was innocent. We do not know whether Pavel Ivanovich would have had enough spirit to swear on the saint, but to say this he had the spirit.","These words and the air of decision with which they were uttered reassured Lyenitsyn. He had been much perturbed and had almost been suspecting there might have been something underhand on Tchitchikov’s part in regard to the will (though of course he could never have conceived what had really happened). Now he reproached himself with being suspicious. His readiness to take an oath seemed a clear proof that Tchitchikov ... We cannot say if Pavel Ivanovitch would really have had the hardihood to take a solemn oath about it, but he had the hardihood to say that he would.","It has made only too good a shot, the cussed young ragamuffin!”","These words and his resoluteness set Lenitsyn at ease for the moment. He was very worried and had already begun to suspect the possibility of some fabrication on Chichikov’s part with regard to the will. Now he reproached himself for his suspicions. The readiness to testify under oath was clear proof that Chichikov was innocent. We do not know whether Pavel Ivanovich would have had the courage to swear on the Bible, but he did have the courage to say it.",
"Сукно блистало, как шелковое. Купец чутьем пронюхал, что пред ним стоит знаток сукон, и не захотел начинать с десятирублевого.","The cloth shone like silk. The merchant sensed by instinct that a connoisseur of cloth was standing in front of him, and did not want to start with ten rubles.",The cloth shone as though it were of silk. The shopkeeper divined that he had before him a connoisseur in cloth and did not care to begin with the ten rouble quality.,"Leaning forward on the tips of his fingers, and indicating his merchandise with just the suspicion of a nod, he requested the gentleman to specify exactly the species of cloth which he required.","The cloth gleamed like silk. The merchant could smell that there stood before him a connoisseur of fabrics, and he did not wish to begin with the ten-rouble sort.",
"— А я, брат, — говорил Ноздрев, — такая мерзость лезла всю ночь, что гнусно рассказывать, и во рту после вчерашнего точно эскадрон переночевал. Представь: снилось, что меня высекли, ей-ей! и, вообрази, кто? Вот ни за что не угадаешь: штабс-ротмистр Поцелуев вместе с Кувшинниковым.","“But I, brother,” said Nozdryov, “such an abomination climbed all night long that it’s vile to talk about it, and it’s as if the squadron spent the night in my mouth after yesterday. Imagine: I dreamed that I was flogged, she-she! and guess who? You'll never guess: Staff Captain Kisses, together with Kuvshinnikov.","“As for me, my boy,” said Nozdryov, “such nasty things haunted me all night that it is loathsome to tell of them; and it seemed as though there were a regiment of soldiers encamped in my mouth after yesterday. Only fancy, I dreamed that I was being thrashed, upon my soul! And would you believe it? You will never guess by whom: Captain Potsyeluev and Kuvshinnikov.”","“The same with myself,” said Nozdrev. “The truth is that such a lot of nasty brutes kept crawling over me that even to speak of it gives me the shudders. Likewise, as the effect of last night’s doings, a whole squadron of soldiers seemed to be camping on my chest, and giving me a flogging. Ugh! And whom also do you think I saw in a dream? You would never guess. Why, it was Staff-Captain Potsieluev and Lieutenant Kuvshinnikov!”","“And I, brother,” said Nozdryov, “kept dreaming about such vileness all night, it’s disgusting to speak of it, and after yesterday it feels as if a squadron spent the night in my mouth. Just fancy: I dreamed I got a whipping, by gosh! and imagine who from? You’ll never guess: Staff Captain Potseluev and Kuvshinnikov.”","“As for me, brother,” said Nozdrev, “I’ve had such vile things bothering me all night that it’s a foul thing even to tell of them; and my mouth, after yesterday, feels as if a troop had bivouacked there. Just imagine, I dreamt that I was flogged— I swear it, I swear I dreamt that. And just imagine who it was that flogged me? There, you’ll never guess it, it was Second Captain of Cavalry Potseluev, he and Kuvshinnikov.”"
А когда все тут же в один голос спросили: «Кто таков этот капитан Копейкин?» — почтмейстер сказал:,And when everyone immediately asked with one voice: “Who is this captain Kopeikin?” the postmaster said:,"And when they all instantly asked with one voice, “Who is Captain Kopeykin?” the postmaster said: “Why, don’t you know who Captain Kopeykin is?”",“And who may Captain Kopeikin be?”,And when straightaway they all asked with one voice: “Who is this Captain Kopeikin?” the postmaster said:,"And when all of them asked, as if with one voice: “And just who might this Captain Kopeikin be?” the Postmaster said: “So you don’t know who Captain Kopeikin is?”"
"— Умница, душенька! — сказал на это Чичиков. — Скажите, однако ж… — продолжал он, обратившись тут же с некоторым видом изумления к Маниловым, — в такие лета и уже такие сведения! Я должен вам сказать, что в этом ребенке будут большие способности.","- Clever, darling! Chichikov said to this. “Tell me, but…” he continued, turning immediately to the Manilovs with a certain look of amazement, “in such years and already such information! I must tell you that this child will have great abilities.","“The clever boy, the darling! ” Tchitchikov said upon this. “Upon my soul,” he went on, addressing the Manilovs with an air of some astonishment, “at his age, and already so much knowledge. I can assure you that that child will show marked abilities!”","“Clever little dear!” burst out Chichikov, turning with an air of surprise to the father. “Indeed, I feel bound to say that the child evinces the greatest possible potentialities.”","“The smarty! The sweetie!” Chichikov said to that. “No, really …,” he continued, turning to the Manilovs with a look of some amazement, “such knowledge, at such an age! I must tell you, this child will have great abilities.”","“What a clever little darling!” Chichikov commented on this. “I must say ...” he went on, at once turning with a certain air of amazement to the Manilovs. “Of such tender years, and yet already possessed of such knowledge! I must tell you that this child will have great abilities!”"
"— Принес и просьбу. Я бы хотел… мне нужно поторопиться… так нельзя ли, например, кончить дело сегодня!","- Bring a request. I'd like to... I need to hurry up... so can't, for example, finish the job today!","“I have the application too. I should be glad.... I am obliged to be in haste . . . so would it be possible, for instance, to complete the business to-day?”","“Yes. I desire— indeed, it is necessary for me so to do—to hasten matters a little. Could the affair, therefore, be carried through to-day?”","“I have brought the application. I’d like … I must hurry … so mightn’t we, for instance, finish the business today?” “Today!","“I’ve brought that as well. I would like . . . I’m in a hurry ... so could this matter be concluded today, lets suppose?” “What!"
"— Да как сказать — куда? Еду я покуда не столько по своей надобности, сколько по надобности другого. Генерал Бетрищев, близкий приятель и, можно сказать, благотворитель, просил навестить родственников… Конечно, родственники родственниками, но отчасти, так сказать, и для самого себя; ибо видеть свет, коловращенье людей — кто что ни говори, есть как бы живая книга, вторая наука.","— Yes, how to say — where? For the time being, I go not so much for my own need, but for the need of another. General Betrishchev, a close friend and, one might say, a philanthropist, asked to visit relatives ... Of course, relatives are relatives, but partly, so to speak, for himself; for to see the light, the rotation of people - whatever you say, is like a living book, a second science.","“Oh, how shall I say? I am travelling not so much on my own affairs as on other people’s. General Betrishtchev, my intimate friend, and I may say my benefactor, has asked me to visit his relations.... Of course, relations are all very well, but I am partly travelling on my own account too; for seeing the world and what people are doing, is—say what you like—a book of life, a second education.”","“And whither should we go?” “In that respect I am not wholly my own master, as I have business to do for others as well as for myself. For instance, General Betristchev—an intimate friend and, I might add, a generous benefactor of mine—has charged me with commissions to certain of his relatives. However, though relatives are relatives, I am travelling likewise on my own account, since I wish to see the world and the whirligig of humanity—which, in spite of what people may say, is as good as a living book or a second education.”","“How shall I say— where? I’m traveling now not so much on my own as on someone else’s need. General Betrishchev, a close friend and, one might say, benefactor, asked me to visit his relatives … of course, relatives are relatives, but it is partly, so to speak, for my own self as well: for to see the world, the circulation of people—whatever they may say—is like a living book, a second education.”",
"«Черт побери! — думал Чичиков, ворочаясь. — Просто не даст спать!»","""Damn it! thought Chichikov, tossing and turning. ""Just won't let me sleep!""","“Confound him,” thought Tchitchikov, turning over on the other side, “he won’t let me sleep.”","“The devil take him!” muttered Chichikov, thrusting his head beneath the bedclothes to avoid hearing more. “The fellow won’t give one a chance to sleep.”","“Devil take it!” thought Chichikov, tossing and turning. “He just won’t let me sleep.”",
"— Ей-богу! да пребольно! Проснулся: черт возьми, в самом деле что-то почесывается, — верно, ведьмы блохи. Ну, ты ступай теперь одевайся, я к тебе сейчас приду. Нужно только ругнуть подлеца приказчика.","— By God! yes it hurts! I woke up: damn it, something really itches - that's right, flea witches. Well, you go now get dressed, I'll come to you now. You just need to scold the scoundrel clerk.","“Upon my soul! And it hurt too! I woke up, dash it all, something really was stinging me, I suppose it was those hags of fleas. Well, you go and get dressed; I will come to you directly. I have only got to pitch into that rogue of a steward.”","“I felt so ill!” went on Nozdrev. “And just after I had fallen asleep something DID come and sting me. Probably it was a party of hag fleas. Now, dress yourself, and I will be with you presently. First of all I must give that scoundrel of a bailiff a wigging.”","“By God! and a most painful one! I woke up: devil take it, something ’s itching for a fact—must be these cursed fleas. Well, you go and get dressed now, I’ll come to you at once. I’ve only got to yell at that scoundrel of a steward.”","“Yes, by God! And most painfully! I awoke and, the Devil take it, something was really making me scratch—probably those damned witch fleas. Well, you go and dress now; Til come to see you right away. All I’ve got to do is to bawl out my scoundrel of a steward.”"
"— Уму непостижимо! — сказал он, приходя немного в себя. — Каменеет мысль от страха. Изумляются мудрости промысла в рассматриванье букашки; для меня более изумительно то, что в руках смертного могут обращаться такие громадные суммы! Позвольте предложить вам вопрос насчет одного обстоятельства; скажите, ведь это, разумеется, вначале приобретено не без греха?","- The mind is incomprehensible! he said, coming to his senses a little. - The thought turns to stone from fear. They are amazed at the wisdom of craft in looking at insects; it is more amazing to me that such enormous sums can be circulated in the hands of a mortal! Let me ask you a question about one circumstance; Tell me, is this, of course, not acquired without sin in the beginning?","“Inconceivable,” he said, when he had recovered himself a little, “the mind is petrified with awe. People are amazed at the wisdom of Providence as they scrutinise a beetle; to my mind it is even more overwhelming that such vast sums can find their way into a mortal’s hands! Allow me to put a question to you in regard to one point: tell me, all this was surely not obtained in the first place quite honestly, was it?”","“The mind cannot grasp it—it petrifies one’s thoughts with awe. You see folk marvelling at what Science has achieved in the matter of investigating the habits of cowbugs, but to me it is a far more marvellous thing that in the hands of a single mortal there can become accumulated such gigantic sums of money. But may I ask whether the great fortune of which you speak has been acquired through honest means?”","“The mind boggles!” he said, recovering himself slightly. “Thought is petrified with fear. People are amazed at the wisdom of Providence as they examine a little bug; for me it is more amazing that such enormous sums can pass through a mortal’s hands! Allow me to put a question to you concerning one circumstance; tell me, this, to be sure, was originally acquired not quite sinlessly?”",
"— Сладки мне ваши речи, досточтимый мною Константин Федорович, — произнес Чичиков. — Могу сказать, что не встречал во всей России человека, подобного вам по уму.","“Your speeches are sweet to me, my dear Konstantin Fedorovich,” said Chichikov. - I can say that I have not met a person in all of Russia like you in mind.","“Your words are sweet to me, honoured Konstantin Fyodorovitch,” Tchitchikov brought out. “I may say that in all Russia I have not met your equal in intelligence.”","“How it delights me to hear your words, good Constantine Thedorovitch!” said Chichikov. “Indeed, nowhere in Russia have I met with a man of equal intellect.”","“Sweet is your talk to me, my esteemed Konstantin Fyodorovich,” said Chichikov. “I may say that in the whole of Russia I have never met a man to equal you in intelligence.”",
"— Я знаю, что выиграю, да мне хочется, чтобы и ты получил выгоду.","- I know that I will win, but I want you to benefit too.","“I know it would pay me better, but I want you to make something out of it.”","“Oh, I should make it fast enough, only I want YOU to benefit by the transaction.”","“I know I’ll make more, but I want you to profit, too.”","“I know I could, but then I want you to get some good out of it too.”"
"Чичиков понял заковыку, которую завернул Иван Антонович, и сказал:",Chichikov understood the catch that Ivan Antonovich wrapped up and said:,"Tchitchikov understood the hint Ivan Antonovitch had given him, and said: “Other people will not be the worse for it either; I’ve been in the service, I understand business....”",“But Ivan Grigorievitch alone will not do—it is customary to have others as well.”,"Chichikov understood the little hitch Ivan Antonovich had just thrown in, and said:",Chichikov grasped the hint the other had thrown out and said: “The others won’t suffer; I was in the service myself; I know what it’s all about—”
"— Это еще ничего! — сказал Костанжогло. — Кошкарев — утешительное явление. Он нужен затем, что в нем отражаются карикатурно и видней глупости умных людей. Завели конторы и присутствия, и управителей, и мануфактуры, и фабрики, и школы, и комиссию, и черт их знает что такое. Точно как будто бы у них государство какое! Как вам это нравится? я спрашиваю. Помещик, у которого пахотные земли и недостает крестьян обрабатывать, а он завел свечной завод, из Лондона мастеров выписал свечных, торгашом сделался! Вон другой дурак еще лучше: фабрику шелковых материй завел!","— It's still nothing! Costanjoglo said. - Koshkarev is a comforting phenomenon. It is needed because it reflects in a caricature and more visible stupidity of smart people. They brought offices and presences, and governors, and manufactories, and factories, and schools, and a commission, and the devil knows what they are. Just as if they had a state! How do you like it? I'm asking. The landowner, who has arable land and lacks peasants to cultivate, but he started a candle factory, ordered candle craftsmen from London, and became a huckster! There is another fool even better: he started a silk fabric factory!","“Oh! that’s nothing,” said Skudronzhoglo. “Koshkaryov is a comforting phenomenon. He is of use because the follies of the intellectual people are reflected and caricatured in him and so are more apparent. They have set up offices, counting-houses and directors and works and factories, and schools and committees, and the devil only knows what, as though they had got an empire to govern! How do you like this , I ask you? A landowner has arable land and not enough peasants to work it, and he goes and sets up a candle factory; he gets candlemakers from London and goes into the trade! Then there is another fool better still: he sets up a silk factory.”","“Never mind,” said Kostanzhoglo. “Koshkarev is a most reassuring phenomenon. He is necessary in that in him we see expressed in caricature all the more crying follies of our intellectuals—of the intellectuals who, without first troubling to make themselves acquainted with their own country, borrow silliness from abroad. Yet that is how certain of our landowners are now carrying on. They have set up ‘offices’ and factories and schools and ‘commissions,’ and the devil knows what else besides. A fine lot of wiseacres! After the French War in 1812 they had to reconstruct their affairs: and see how they have done it! Yet so much worse have they done it than a Frenchman would have done that any fool of a Peter Petrovitch Pietukh now ranks as a good landowner!” “But he has mortgaged the whole of his estate?” remarked Chichikov. “Yes, nowadays everything is being mortgaged, or is going to be.” This said, Kostanzhoglo’s temper rose still further. “Out upon your factories of hats and candles!” he cried. “Out upon procuring candle-makers from London, and then turning landowners into hucksters! To think of a Russian pomiestchik 49, a member of the noblest of callings, conducting workshops and cotton mills! Why, it is for the wenches of towns to handle looms for muslin and lace.”","“That’s still nothing!” said Kostanzhoglo. “Koshkarev is a comforting phenomenon. He’s necessary, because the follies of clever people are made more obvious by the caricature of their reflection in him. They’ve set up offices, and institutions, and managers, and manufactures, and factories, and schools, and commissions, and devil knows what else. As if they had some sort of state of their own! How do you like this , I ask you? A landowner who has arable land and not enough peasants to work it, started a candle factory, invited master candlemakers from London, and became a merchant! There’s an even bigger fool: he started a silk factory!”",
