Source,GoogleTranslate,human1,human2,human3,human4,human5
"Вот был мой путь: от части к целому; часть – R-13, величественное целое – наш Институт Государственных Поэтов и Писателей. Я думал: как могло случиться, что древним не бросалась в глаза вся нелепость их литературы и поэзии. Огромнейшая великолепная сила художественного слова – тратилась совершенно зря. Просто смешно: всякий писал – о чем ему вздумается. Так же смешно и нелепо, как то, что море у древних круглые сутки тупо билось о берег, и заключенные в волнах силлионы килограммометров – уходили только на подогревание чувств у влюбленных. Мы из влюбленного шепота волн – добыли электричество, из брызжущего бешеной пеной зверя – мы сделали домашнее животное: и точно так же у нас приручена и оседлана когда-то дикая стихия поэзии. Теперь поэзия – уже не беспардонный соловьиный свист: поэзия – государственная служба, поэзия – полезность.","That was my way: from the part to the whole; the part is R-13, the majestic whole is our Institute of State Poets and Writers. I thought: how could it happen that the ancients did not catch the eye of all the absurdity of their literature and poetry. The enormous magnificent power of the artistic word was wasted completely in vain. It's just ridiculous: everyone wrote - what he pleases. It is just as ridiculous and absurd as the fact that the sea of the ancients stupidly beat against the shore all day and night, and millions of kilometers enclosed in the waves - went only to warm up the feelings of lovers. From the loving whisper of the waves we have obtained electricity, from the beast splashing with furious foam we have made a domestic animal: and in the same way we have tamed and saddled the once wild element of poetry. Now poetry is no longer a shameless nightingale whistle: poetry is a public service, poetry is utility.","This was my way of thinking: from the part to the whole,—R-13 is the part; the whole is our Institution of State Poets and Authors. I thought: how was it that the ancients did not notice the utter absurdity of their prose and poetry? The gigantic, magnificent power of the artistic word was spent by them in vain. It is really droll; anybody wrote whatever happened to come into his head! It was as foolish as the fact that in the days of the ancients the ocean blindly splashed at the shore for twenty-four hours without interruption or use. The millions of kilogram-meters of energy which were hidden in the waves were used only for the stimulation of sweethearts! We obtained electricity from the amorous whisper of the waves! We made a domestic animal out of that sparkling, foaming, rabid one! And in the same manner we domesticated and harnessed the wild element of poetry. Now poetry is no longer the unpardonable whistling of nightingales but a State Service! Poetry is a commodity.","My reflections proceeded from the part to the whole: the part, R-13; the majestic whole, our Institute of State Poets and Writers. I wondered at the ancients who had never realized the utter absurdity of their literature and poetry. The enormous, magnificent power of the literary word was completely wasted. It's simply ridiculous—everyone wrote anything he pleased. Just as ridiculous and absurd as the fact that the ancients allowed the ocean to beat dully at the shore twenty-four hours a day, while the millions of kilogrammometers of energy residing in the waves went only to heighten lovers' feelings. But we have extracted electricity from the amorous whisper of the waves; we have transformed the savage, foam-spitting beast into a domestic animal; and in the same way we have tamed and harnessed the once wild element of poetry. Today, poetry is no longer the idle, impudent whistling of a nightingale; poetry is civic service, poetry is useful.","This was my thought path: from the parts to the whole. The part was R-13 and the majestic whole was our Institute of State Poets and Writers. I thought: how could it be that the utter silliness of their literature and poetry didn’t fling itself into the eyes of the Ancients? The tremendous, splendid force of the artistic word was wasted absolutely in vain. It’s pure comedy: anyone wrote about whatever he took it in his head to write. It’s just as comic and ridiculous that the oceans of the Ancients beat stupidly against their shores, night and day, and that the millions of kilogram-meters contained in these waves were only expended as kindling for the feelings of lovers. We, from those amorous whispers of the waves, procured electricity. From the beast, gushing with rabid froth, we made a domestic animal. And that is exactly how we tamed and saddled the once-wild natural force of poetry. Now poetry is no longer a brazen nightingale call. Poetry is a state service; poetry is purpose.","Here was the path I had to take: from the part to the whole. The part was R-13. The magnificent whole was our Institute of State Poets and Writers. How could it have happened, I wondered, that the ancients did not immediately see how completely idiotic their literature and poetry was. The immense majestic power of the artistic word was squandered for absolutely nothing. It’s simply ridiculous—everybody wrote about whatever popped into his head. It’s just as stupid and ridiculous as the fact that the ancients let the ocean go on dumbly beating against the shore around the clock, and the millions of kilogrammeters locked up inside the waves went for nothing but kindling lovers’ emotions. We’ve taken the waves’ sweet nothings and turned them into electricity ... taken a mad crashing foaming beast and turned it into a domestic animal. In just the same way we’ve tamed and saddled what used to be the wild nature of poetry. Poetry today is not some impudent nightingale’s piping—poetry is government service, poetry is usefulness.","This was my way of thinking: from the part to the whole—R-13 is the part, the whole is our Institution of State Poets and Authors. I thought: how was it that the ancients did not notice the utter absurdity of their prose and poetry? The gigantic, magnificent power of the artistic word was spent by them in vain. It is really funny; anybody wrote whatever happened to come into his head! It was as foolish as the fact that in the days of the ancients the ocean blindly splashed on the shore for twenty-four hours a day, without interruption or use. The millions of kilogram meters of energy which were hidden in the waves were used only for the stimulation of sweethearts! We obtained electricity from the amorous whisper of the waves! We made a domestic animal out of that sparkling, foaming, rabid one! And in the same manner, we domesticated and harnessed the wild element of poetry. Now poetry is no longer the unpardonable whistling of nightingales, but a State Service! Poetry is a commodity."
"Всякий подлинный поэт – непременно Колумб. Америка и до Колумба существовала века, но только Колумб сумел отыскать ее. Таблица умножения и до R-13 существовала века, но только R-13 сумел в девственной чаще цифр найти новое Эльдорадо. В самом деле: есть ли где счастье мудрее, безоблачнее, чем в этом чудесном мире. Сталь – ржавеет; древний Бог – создал древнего, т. е. способного ошибаться человека – и, следовательно, сам ошибся. Таблица умножения мудрее, абсолютнее древнего Бога: она никогда – понимаете: никогда – не ошибается. И нет счастливее цифр, живущих по стройным вечным законам таблицы умножения. Ни колебаний, ни заблуждений. Истина – одна, и истинный путь – один; и эта истина – дважды два, и этот истинный путь – четыре. И разве не абсурдом было бы, если бы эти счастливо, идеально перемноженные двойки – стали думать о какой-то свободе, т. е. ясно – об ошибке? Для меня – аксиома, что R-13 сумел схватить самое основное, самое…","Every true poet is certainly a Columbus. America existed for centuries before Columbus, but only Columbus managed to find it. The multiplication table existed for centuries before R-13, but only R-13 managed to find a new Eldorado in the virgin thicket of numbers. Indeed: is there anywhere happiness wiser, more cloudless than in this wonderful world. Steel - rusts; the ancient God - created the ancient, that is, man capable of making mistakes - and, therefore, he himself made a mistake. The multiplication table is wiser, more absolute than the ancient God: it never - you understand: never - is mistaken. And there are no happier numbers living according to the harmonious eternal laws of the multiplication table. No hesitation, no confusion. Truth is one, and the true way is one; and this truth is twice two, and this true way is four. And would it not be absurd if these happily, ideally multiplied twos began to think about some kind of freedom, that is, clearly, about a mistake? It is an axiom for me that the R-13 managed to capture the most basic, the most…","Every poet is inevitably a Columbus. America existed before Columbus for ages, but only Columbus found it. The multiplication table existed before R-13 for ages, but only R-13 could find in the virginal forest of figures a new Eldorado. Is it not true? Is there any happiness more wise and cloudless in this wonderful world? Steel may rust. The ancient god created the ancient man, i.e., the man capable of mistakes, ergo the ancient god himself made a mistake. The multiplication table is more wise and more absolute than the ancient god, for the multiplication table never (do you understand—never) makes mistakes! There are no more fortunate and happy people than those who live according to the correct, eternal laws of the multiplication table. No hesitation! No errors! There is but one truth, and there is but one path to it; and that truth is: four, and that path is: two times two. Would it not seem preposterous for these happily multiplied twos suddenly to begin thinking of some foolish kind of freedom? i.e. (is it not clear?) of a mistake? It seems undeniable, axiomatic, that R-13 knows how to grasp the most fundamental, the most....","Every true poet is inevitably a Columbus. America existed for centuries before Columbus, but only Columbus succeeded in discovering it. The multiplication table existed for centuries before R-13, yet it was only R-13 who found a new Eldorado in the virginal forest of figures. And indeed, is there any happiness wiser, more unclouded than the happiness of this miraculous world? Steel rusts. The ancient God created the old man, capable of erring—hence he erred himself. The multiplication able is wiser and more absolute than the ancient God: it never—do you realize the full meaning of the word?—it never errs. And there are no happier figures than those which live according to the harmonious, eternal laws of the multiplication table. No hesitations, no delusions. There is only one truth, and only one true way; this truth is two times two, and the true way—four. And would it not be an absurdity if these happily, ideally multiplied twos began to think of some nonsensical freedom—i.e., clearly, to error? To me it is axiomatic that R-13 succeeded in grasping the most fundamental, the most....","Every genuine poet is necessarily a Columbus. America existed for centuries before Columbus but it was only Columbus who was able to track it down. The multiplication table existed for centuries before R-13 but it was only R-13 who managed to find a new El Dorado in the virgin thicket of digits. Indeed: is there a place where happiness is wiser, more cloudless, than in this miraculous world? Steel rusts; the ancient God created an ancient human capable of mistakes—and, therefore, He made a mistake Himself. The multiplication table is wiser, more absolute than the ancient God: it never—you understand—it never makes mistakes. And there is nothing happier than digits, living according to the well-constructed, eternal laws of the multiplication table. Without wavering, without erring. The truth is one, and the true path is one; and this truth is two-times-two, and this true path is four. And wouldn’t it be absurd, if these happily, ideally multiplying pairs started to think about some kind of freedom, by which I clearly mean—about making a mistake? I find it axiomatic that R-13 was able to capture this most fundamental, most …","Every genuine poet is bound to be a Columbus. America had existed for ages even before Columbus, but only Columbus was able to find it. The multiplication table existed for ages before R-13, too, but only R-13 was able to find a new Eldorado in that virgin forest. No, really: Does there exist any happiness that is wiser, more cloudless, than what can be found in that marvelous world? Steel rusts. The ancients’ God created ancient-that is, prone to error-man, and so erred himself. The multiplication table is wiser and more absolute than the ancient God. It never—repeat, never—makes a mistake. And there’s nothing happier than figures that live according to the elegant and eternal laws of the multiplication table. No wavering, no wandering. Truth is one, and the true path is one. And that truth is two times two and that true path is four. And wouldn’t it be absurd if these two happily, ideally multiplied twos started thinking about some kind of freedom, that is, about some mistake? For me it’s axiomatic: R-13 has latched onto the most fundamental, the most ...","Every poet is inevitably a Columbus. America existed before Columbus for ages, but only Columbus found it. The multiplication table existed before R-13 for ages, but only R-13 could find in the virginal forest of figures a new Eldorado. Is it not true? Is there any happiness more wise and cloudless in this wonderful world? Steel may rust. The ancient god created ancient man, i.e., the man capable of mistakes; ergo, the ancient god himself made a mistake. The multiplication table is more wise and more absolute than the ancient god, for the multiplication table never (do you understand—never) makes mistakes! There are no more fortunate and happy people than those who live according to the correct, eternal laws of the multiplication table. No hesitation! No errors! There is but one truth, and there is but one path to it; and that truth is: four, and that path is: two times two. Would it not seem preposterous for these happily multiplied twos suddenly to begin thinking of some foolish kind of freedom?—i.e. (is it not clear?), of a mistake? It seems undeniable, axiomatic, that R-13 knows how to grasp the most fundamental, the most …"
"Сознаюсь: та же мысль была и у меня. Но я вспомнил, сколько раз он был настоящим моим ангелом-хранителем, сколько раз он спасал меня, и смело подошел, протянул руку, сорвал листок.","I confess that I had the same thought. But I remembered how many times he was my real guardian angel, how many times he saved me, and boldly approached, extended his hand, tore off the leaf.","I must confess, I had that thought. But remembering how many times he had proved my real Guardian-angel and how often he had saved me, I stepped towards him and with courage and warm assurance I stretched out my hand and tore off the sheet.","I confess to the same thought. But I recalled the many times when he was truly my Guardian Angel, the many times he saved me—and I boldly walked up to him, stretched my hand, and pulled off the sheet.","I admit: I had that very same thought. But I remembered how many times he had been my real guardian angel, how many times he had saved me and so I dared to go up, reach up my arm, and tear down the piece of paper.","I won’t deny the same thought was in my own head. But I remembered all the times he’d been my real guardian angel, how many times he’d rescued me— so I walked boldly up, reached out my hand, and tore down the sheet.","I must confess I had that thought. But remembering how many times he had proved my real Guardian Angel and how often he had saved me, I stepped toward him and with courage and warm assurance I stretched out my hand and tore off the sheet."
"На западе ежесекундно в синей судороге содрогалось небо. Голова у меня горела и стучала. Так я просидел всю ночь и заснул только часов в семь утра, когда тьма уже втянулась, зазеленела и стали видны усеянные птицами кровли…","In the west, the sky shuddered every second in a blue spasm. My head was on fire and pounding. So I sat all night and fell asleep only at seven o'clock in the morning, when the darkness had already drawn in, turned green and the roofs dotted with birds became visible ...",Every second the sky twitched in convulsion there in the west. My head was burning and pulsating inside; I was up all night and I fell asleep only at about seven o’clock in the morning when the darkness of the night was already dispelled and becoming gray and when the roofs crowded with birds became visible....,"In the west, the sky shuddered every second in a blue spasm. My head burned and hammered. I sat so all night, falling asleep only at seven in the morning, when the darkness was already drawn out, turning green, and I could see the bird-strewn roofs.","In the west, the sky shook in blue spasms every second. My head was burning and banging. That is how I sat through the whole night and fell asleep at about seven in the morning, when darkness was already sagging, beginning to turn green, and the roofs, studded with birds, were becoming visible …","In the west the sky was going through a blue spasm every second. My head was on fire and pounding. I sat up the whole night like this and fell asleep only around seven in the morning, when the darkness was starting to thin out and turn green and you could see roofs dotted with birds.","Every second the sky twitched convulsively there in the west. My head was burning and pulsating inside; I was up all night, and I fell asleep only at about seven o’clock in the morning, when the darkness of the night was already dispelled and becoming gray, and the roofs crowded with birds became visible …"
"– Ну, мне пора… – и я поцеловал О, пожал руку R, пошел к лифту.","- Well, I have to go ... - and I kissed O, shook hands with R, went to the elevator.","“Well, I must go.” I kissed O-, shook hands with R- and went to the elevator.","""Well, I must go. ... "" I kissed O, shook hands with R, and went out to the elevator.","“Well, time for me to go …” I kissed O, shook hands with R, and went to the elevator.","“Well, time I was going,” I said, and I gave O a kiss, shook hands with R, and went to the elevator.","“Well, I must go.” I kissed O-, shook hands with R-, and went to the elevator."
– Я знаю…,- I know…,I do know....,I know ...,I know …,“There’s no telling ... who knows?” I know.,I do know.…
"И может быть, как раз сию минуту, ровно в 22, когда я пишу это – она, закрывши глаза, так же прислоняется к кому-то плечом и так же говорит кому-то: «Ты любишь?» Кому? Кто он? Этот, с лучами-пальцами, или губастый, брызжущий R? Или S?","And maybe, just this very minute, exactly at 22, when I am writing this - she, closing her eyes, also leans against someone's shoulder and also says to someone: “Do you love?” To whom? Who is he? The one with the finger-rays, or the big-mouthed, splattering R? Or S?","And it is quite possible that now, at this minute, as I write these lines, at twenty-two o’clock exactly, with her eyes closed, she is pressing her shoulder against somebody else in the same way and in the same way she may be asking someone: “Do you love me?” Whom? Who is he? That one with ray-like fingers or that thick-lipped, sprinkling R-? Or S-? S-!","And possibly, just at this very moment, exactly at twenty-two, as I am writing this, she stands with closed eyes, leaning against someone with her shoulder, saying to someone, ""Do you love?"" To whom? Who is he? The one with the raylike fingers, or the thick-lipped, sputtering R? Or S?","And, maybe, at this very minute, at exactly 22:00, as I write this, she has closed her eyes and is leaning on someone’s shoulder like she did mine and uttering those same words: “Do you like … ?” But who to? Who is he? Is it that man with the finger-beams, or the lippy, spraying R? Or S?","And it may be that right now, at 22:00, at the very minute when I’m writing this, she’s got her eyes closed and is pressing her shoulders against someone and saying, “You like it?” Who? Who is he? That one with the ray-fingers? Or the thick-lipped sprinkler, R? Or S? S ...","And it is quite possible that now, at this minute, as I write these lines, at twenty-two o’clock exactly, with her eyes closed she is pressing her shoulder against somebody else in the same way, and in the same way she may be asking someone: “Do you love me?” Whom? Who is he? That one with raylike fingers, or that thick-lipped, sprinkling R-? Or S-? S-!"
"Шток передо мною на столе. Я вскочил, дыша еще громче. Она услышала, остановилась на полслове, тоже почему-то встала. Я видел уже это место на голове, во рту отвратительно-сладко… платок, но платка нет – сплюнул на пол.","The stock is on the table in front of me. I jumped up, breathing even louder. She heard, stopped in mid-sentence, and for some reason also got up. I have already seen this place on my head, disgustingly sweet in my mouth ... a handkerchief, but there is no handkerchief - I spat on the floor.","The piston was before me on the table. I jumped up, breathing even louder. She heard, and stopped half-way through a word and rose. Already I had located the place on her head; something disgustingly sweet was in my mouth.... My handkerchief! I could not find it. I spat on the floor.","The rod was before me on the table. I sprang up, breathing still more loudly. She heard it, halted in mid-sentence, and also, for some reason, stood up. I saw already that place on her head.. . . A sickening sweetness in my mouth. . . . My handkerchief—but it wasn't there; I spat on the floor.","The rod was on the table in front of me. I jumped up, breathing even louder. She heard it, stopped in mid-word, and also stood up for some reason. I could already see the place on her head, my mouth had a disgusting-sweet … the handkerchief, where was the handkerchief— I spit on the floor.","The rod was in front of me on the table. I jumped up, breathing even louder. She heard this, stopped in the middle of what she was saying, and also, for some reason, stood up. I could already see the spot on her head, it was disgustingly sweet in my mouth, I reached for my handkerchief, had no handkerchief, and spat on the floor.","The piston was before me on the table. I jumped up, breathing even louder. She heard, and stopped halfway through a word and rose. Already I had located the place on her head; something disgustingly sweet was in my mouth. … My handkerchief! I could not find it. I spat on the floor."
"– Ну? Скорее… – Я грубо стиснул ей руку, и красные пятна (завтра – синяки) у ней на запястье, там – где пухлая детская складочка.","- Well? Rather ... - I roughly squeezed her hand, and red spots (tomorrow - bruises) on her wrist, where - where a plump child's fold.","“Well, quick....” I roughly pressed her hand. A red spot was left on her wrist (tomorrow it would become purple), where the fluffy, infantile fold....","""Well? Hurry ..."" I roughly seized her hand, and red spots (tomorrow they'll be blue) appeared on her wrist, by the plump childlike fold.","“Well? Quick let’s …” I roughly squeezed her arm and red spots (tomorrow’s bruises) formed on her wrists, right on the chubby, childlike crease.","“Well? We’re wasting time ...” I said, and I grabbed her arm hard and red spots (bruises tomorrow) showed on her wrist, at the place she’s got that puffy babyish fold.","“Well, quick …” I roughly pressed her hand. A red spot was left on her wrist (tomorrow it will become purple), where the fluffy, infantile fold … I turned the switch; my thoughts went out with the light."
"Я спотыкался о тугие, свитые из ветра канаты и бежал к ней. Зачем? Не знаю. Я спотыкался, пустые улицы, чужой, дикий город, неумолчный, торжествующий птичий гам, светопреставление. Сквозь стекло стен – в нескольких домах я видел (врезалось): женские и мужские нумера бесстыдно совокуплялись – даже не спустивши штор, без всяких талонов, среди бела дня…","I stumbled over tight ropes twisted from the wind and ran towards her. What for? Don't know. I stumbled, empty streets, a strange, wild city, incessant, triumphant bird noise, doomsday. Through the glass of the walls - in several houses I saw (crashed): female and male numbers shamelessly copulated - without even lowering the curtains, without any coupons, in broad daylight ...","Stumbling against the tightly-drawn ropes woven by the wind, I was running to her. What for? I did not know. I was stumbling.... Empty streets.... The city seemed foreign, wild, filled with the ceaseless, triumphant, hubbub of birds. It seemed like the end of the world, Doomsday. Through the glass of the walls in quite a few houses (this cut into my mind) I saw male and female Numbers in shameless embraces—without curtains lowered, without pink checks, in the middle of the day!...","I tripped against tight, wind-woven cables and ran to her. What for? I don't know. I stumbled. Empty streets, an alien, wild city, an incessant, triumphant chorus of bird cries, the end of the world. Through the glass walls of some houses I saw (it etched itself in memory) male and female numbers copulating shamelessly—without even dropping the shades, without coupons, at midday...","I stumbled against taut ropes of twisting wind and ran to her. Why? I don’t know. I stumbled: empty streets; a foreign, wild city; the incessant celebrating of the avian uproar; doomsday. In several buildings, through the glass of the walls I saw (it cut into me): female and male ciphers shamelessly copulating, without even lowering the blinds, without any tickets, in broad daylight …","I was stumbling over taut hawsers woven out of wind and running toward her. Why? I don’t know. I was stumbling, the streets were empty, the city was strange and wild, the triumphant clamor of the birds would never cease—it was Doomsday. In several buildings I could see through the glass walls (this sank in) that male and female Numbers were copulating without the least shame, without even lowering the blinds, without so much as a ticket, in broad daylight....","Stumbling against the tightly drawn ropes woven by the wind, I was running to her. What for? I did not know. I was stumbling … Empty streets … The city seemed foreign, wild, filled with the ceaseless, triumphant hubbub of the birds. It seemed like the end of the world, Doomsday. Through the glass of the walls in quite a few houses (this cut into my mind), I saw male and female Numbers in shameless embraces—without curtains lowered, without pink checks, in the middle of the day!…"
– Слушайте… – я вскочил со стула. Но он уже громко заговорил о другом:,“Listen…” I jumped up from my chair. But he was already talking loudly about something else:,"“Listen,” I jumped up from my seat. But he had already changed the subject. In a loud metallic tone:",I jumped up from the chair. But he was already speaking loudly about other things.,“Listen …” I leapt from my chair. But he had already loudly begun to talk about something else:,“Listen ...” I jumped up from the chair. But he’d already begun talking loudly about something else: “...,"“Listen.” I jumped up from my seat. But he had already changed the subject. In a loud, metallic tone:"
