langs,system,n2m,source,target,n2mS,n2mT
ja-pl,llama,1-2,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートにはトレーニングと大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie znajdowały się prawdziwe pieniądze, ale na recepcie było dużo więcej niż tylko to, co napisano, a naszymi kolegami zrobiliśmy to samo. W ten sposób zaczęliśmy się uczyć, jak wichtne jest szanowanie innych i robienie swojej roboty dobrze.",1,2
ja-pl,llama,1-4,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Ojcie, lubię kurczaka, dlatego dziś będę go gotować i jeść. Czy słyszysz? Powtarzam to jasno i distinctly, a matka zaskoczona, a także sąsiednie dzieciństwo matki zaintrygowane. Oczy, nos i usta rozwarli się jednocześnie w wielkim otwarciu.",1,4
ja-pl,llama,1-2,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。,"Widzę, że masz tam parę kroków, aż trzy kroki, idących przed nami, a ich spojrzenie pada na nas. Czasem myślę, że byłoby lepiej, gdybyśmy z nimi porozmawiali..",1,2
ja-pl,llama,3-1,なんで? せっかく死んでるのに 私の疑問に、母は絶句した。 缶コーヒーと煙草とアメリカンドックを手早くＳサイズの袋に入れる。,"Czytałem, że umarłeś, ale matka moja zapytała, co to für eine Frage ist. : Wkrótce będę palić papierosy i pijć kawę z puszki, a Amerykanin będzie śmiegać.",3,1
ja-pl,llama,2-1,年齢確認のタッチをお願いします 画面をタッチしながら、男性の目線がファーストフードが並んだショーケースにすっと移ったのを見て、指の動きを止める。,"Proszę potwierdzić wiek na ekranie, a następnie zatrzymywać ruch palców, gdy oczami mężczyzny śledzi się kolejkę fast foodów na ekranie.",2,1
ja-pl,llama,1-2,何かおとりしますか?と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"Czy mogę coś dla Ciebie zrobić? zapytałem, ale jakbyśmy nie słyszeli odpowiedzi, widać było, że klient jest wahający się, czy kupić czy nie. W takiej sytuacji zawsze wybieram się zrobić krok wstecz i czekać.",1,2
ja-pl,llama,1-2,掌やポケットの中で小銭を鳴らしている人は、煙草か新聞をさっと買って帰ろうとしている人が多いので、お金の音には敏感だ。,"Człowiek, który trzyma się małe pieniądze w dłoni lub kieszeni, często chce szybko kupić papierosy lub gazetę i wrócić do domu. Z tego względu jest bardzo wrażliwy na dźwięk pieniędzy.",1,2
ja-pl,human,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Następnego dnia zazwyczaj musiałam iść do pracy, więc czasami te spotkania były mi trochę nie na rękę, ale jej dom był dla mnie jedynym poza konbini miejscem do interakcji z prawdziwym życiem. Poza tym kontakt z innymi kobietami w moim wieku był nie do przecenienia dlatego starałam się zawsze przyjmować zaproszenia Miho.",1,2
ja-pl,human,1-2,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Tego dnia spotkałyśmy się we cztery: Miho, Yukari z dzieckiem, Satsuki, która była po ślubie, ale nie miała dzieci, i ja. Piłyśmy herbatę, jedząc przyniesione przez nas słodkości.",1,2
ja-pl,human,1-2,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Kontynuowaliśmy szkolenie przez dwa tygodnie, które pozostały do otwarcia. Ćwiczyliśmy w parach, z prowadzącym albo udawaliśmy, że rozmawiamy z klientem.",1,2
ja-pl,human,1-2,お客様の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Musieliśmy pamiętać, by kłaniać się z uśmiechem, gdy tylko napotkamy jego spojrzenie. Kobiece środki higieniczne należało wkładać do papierowej torebki, zimne i ciepłe artykuły pakować osobno, a przed podaniem fast foodów koniecznie odkazić ręce sprejem z alkoholem.",1,2
ja-pl,human,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja o dwa lata młodsza siostra była normalna, nie to co ja. Nie trzymała się jednak na dystans, wręcz przeciwnie lgnęła do mnie.",1,2
ja-pl,human,3-1,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私にありがとうと言った。 お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。 そのため、妹はいつも私についてまわっていた。,Mama przerywała wtedy kazanie.,3,1
ja-pl,human,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Tata lubi pieczonego kurczaka, a kurczak to ptak, więc dzisiaj upieczmy i zjedzmy tego! wymówiłam wyraźnie, myśląc, że mnie nie zrozumiała. Mama osłupiała, kobieta obok niej chyba też była zaskoczona, bo nagle otworzyła szeroko oczy i usta, nawet dziurki w nosie miała większe niż przedtem.",1,2
ja-pl,human,1-2,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,"Zachciało mi się śmiać, bo zabawnie wyglądała, ale zobaczyłam, że wpatruje się w moje ręce. Wtedy zrozumiałam, o co chodzi przecież jeden ptaszek to za mało.",1,2
ja-pl,human,1-3,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。,"Rzuciłam okiem na dwa czy trzy wróble, które skakały po ziemi niedaleko. Wtedy mama wreszcie doszła do siebie. Keiko! zawołała wzburzona.",1,3
ja-pl,human,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,"Przecież dla nas dobrze, że nie żyje. Mamie zabrakło słów.",1,2
ja-pl,human,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"A, i jeszcze papierosy, piątkę. Oczywiście. W mgnieniu oka wyciągnęłam paczkę mentolowych marlboro lightów i zeskanowałam ich kod.",1,3
ja-en,gpt3,1-2,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Today, the members of our group were Miho, Yukari who had brought her still small child, Satsuki who was married but had no children yet, and me. We brought a cake to Miho's house and had tea.",1,2
ja-en,gpt3,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Dad, I like yakitori, so let's make and eat this today."" I repeated it in a clear voice, wondering if she hadn't heard it well. My mother gave a start, and the other mothers around us seemed surprised as their eyes, noses, and mouths opened wide all at once.",1,2
ja-en,gpt3,2-1,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。 小鳥さんはね、お墓をつくって埋めてあげよう。,"Glancing at the sparrows walking side by side nearby, my mother, who had finally come to her senses, shouted desperately in a voice as if scolding me, ""Keiko!"" ""Let's make a grave and bury the little bird,"" said my wife.",2,1
ja-en,gpt3,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Ah, and one pack of cigarettes, number five."" ""Understood."" Quickly remove the Marlboro Light Menthol and scan it at the register.",1,3
ja-en,nmt,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Tomorrow is also a part-time job, so there are times when I think it's a hassle, but it's the only point of contact with the world other than convenience stores, and it's a valuable opportunity to interact with ""normal women in their thirties"" of the same age, so I try to accept Miho's invitation as much as possible. I have to.",1,2
ja-en,nmt,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Dad, I love yakitori, so let's grill and eat this today."" I wondered if I hadn't heard it well, so I repeated it with a clear pronunciation, and my mother was startled.",1,2
ja-en,nmt,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Ah, and one cigarette No. 5"" ""Understood"" Quickly pull out the Marlboro Light Menthol and scan it at the cash register.",1,3
ja-en,gpt4,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Although I sometimes feel reluctant about having to work part-time again tomorrow, it is my only connection with the world outside of the convenience store, and a valuable opportunity to interact with women of my own age in their thirties. Therefore, I try as much as possible to accept Miho's invitations.",1,2
ja-en,gpt4,1-2,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Today, the group was made up of Miho, Yukari who brought her small children along, Satsuki who is married but doesn't have children yet, and myself. We gathered at Miho's house for tea with a cake we all contributed to.",1,2
ja-en,gpt4,1-2,お客様の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Look into the customer's eyes, smile, and bow; put sanitary products into a paper bag; separate warm items from cold ones; sanitize your hands with alcohol if asked for fast food.",1,2
ja-en,gpt4,1-2,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートにはトレーニングと大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"There was real money inside the register to get used to handling cash, but the receipt had ""Training"" printed largely on it, and the other person was a part-time colleague wearing the same uniform. It somehow felt like playing pretend shopping.",1,2
ja-en,gpt4,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"My younger sister, two years my junior, was unlike me, a normal child. But that didn't mean she kept her distance from me; rather, she had a deep affection for me.",1,2
ja-en,gpt4,1-3,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Dad, let's grill and eat this today because you like yakitori."" I repeated it clearly, wondering if he hadn't heard me well. My mother was taken aback, and the other child's mother sitting next to her was also surprised; her eyes, nostrils, and mouth all opened wide at once.",1,3
ja-en,gpt4,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,"Despite finally being dead. At my question, my mother was at a loss for words.",1,2
ja-en,gpt4,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"Ah, one more thing, the number 5 cigarette pack. Understood. Quickly pulling out a pack of Marlboro Light Menthol and scanning it at the register.",1,3
ja-en,gpt4,1-2,何かおとりしますか?と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"May I take your order? It's fine to ask, but if the customer seems to be deliberating, I make it a point to step back and wait.",1,2
ja-en,llama,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"""I sometimes feel frustrated when I have to work part-time jobs tomorrow, but I consider it a valuable opportunity to interact with people outside of convenience stores and to spend time with a normal, thirty-something woman like Miho. So, I try to accept her invitations whenever possible.""",1,2
ja-en,llama,1-3,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Dad, I love grilled chicken, so let's grill some today. I think I didn't hear you say it clearly, so I'll say it again with a clear pronunciation. Mom was startled, and the other mothers nearby were also surprised, their eyes, noses, and mouths opening wide in shock.""",1,3
ja-en,llama,2-1,いらっしゃいませ、おはようございます! 軽い会釈をして、男性客が差し出した缶コーヒーを受け取る。,"""Good morning! Here's a light breakfast, and a can of coffee that a male customer left behind.""",2,1
ja-en,llama,1-2,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"Ah, and one more of No. 5 cigarettes. Okay, swiftly pull out Marlboro Light Menthol and scan at the register.",1,2
ja-en,human,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"There are times when I feel like it's too much bother, knowing I have to work the next day. But it's the only connection I have to the world outside the convenience store and a precious opportunity to mingle with ""normal"" women my age, so I usually accept her invitations.",1,2
ja-en,human,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"My little sister, who is two years younger than me, was a normal child. Even so, she never tried to avoid me; indeed, she adored me.",1,2
ja-en,human,2-1,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。 そのため、妹はいつも私についてまわっていた。,"It also helped that I wasn't all that interested in sweets and toys and would often give them to her, and so she was always hanging around me.",2,1
ja-en,human,0-1,,"""Daddy likes yakitori, doesn't he?",0,1
ja-en,human,1-4,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Let's grill it and have it for dinner!"" She looked at me, startled. Thinking she hadn't heard properly, I repeated what I'd said, this time clearly enunciating my words. The mother sitting next to her gaped at me, her eyes, nostrils, and mouth forming perfect O's.",1,4
ja-en,human,1-2,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,She looked so comical I almost burst out laughing. But then I saw her staring at the bird in my hand and I realized that one of these little birds probably wouldn't be enough for Daddy.,1,2
ja-en,human,1-2,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。,"I asked, glancing at two or three other birds strutting around. ""Keiko!"" my mother exclaimed reprovingly, finally coming to her senses.",1,2
ja-en,human,2-1,ね、かわいそうでしょう? なんで?,"The poor little thing!""",2,1
ja-en,human,1-3,せっかく死んでるのに 私の疑問に、母は絶句した。,"""But it's dead. Let's eat it!"" My mother was speechless.",1,3
ja-en,human,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Oh, and a pack of Marlboro Menthol Lights."" ""Right away, sir."" I take out a pack of the cigarettes and scan the bar code.",1,3
ja-en,human,3-1,客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。 店員の掛け声に、バーコードをスキャンする音。 かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。,"From the tinkle of the door chime to the voices of TV celebrities advertising new products over the in-store cable network, to the calls of the store workers, the beeps of the bar code scanner, the rustle of customers picking up items and placing them in baskets, and the clacking of heels walking around the store.",3,1
fr-ja,gpt3,1-3,Celui qui est sous ma joue est un manuscrit d'amour : c'est l'histoire d'un mec qui rencontre une fille mais il est marié et elle a un copain...,私の頬にあるのは、愛のための手稿だ。 それは、男が女に出会う物語だが、彼は既婚者で、彼女は彼氏がいる。。。 という物語である。,1,3
fr-ja,gpt3,1-2,"Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l'envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo.",目を閉じれば、私の瞼を透してペルツェルの灯が黄色い均一な光を放ち、それを黒い形が侵していくのが見える。 それは動く廃墟を築き上げ、ヴィクトル・ユーゴーの絵を描いている。,1,2
fr-ja,gpt3,1-2,"Mon souffle ralentit, mon cœur se calme un peu, je pourrais m'endormir, mourir.",息が落ち着き、心臓が少しずつ静まる。 眠りに落ちるか、死んでしまうか。,1,2
fr-ja,gpt3,1-2,"On dirait : "" Il est mort comme il a vécu, parmi les livres, en lisant ! "" et, en vérité, je serais mort en rêvant à rien.",彼は本を読みながら、本の中で生きていたように、本の中で死んだのだ!と言われている。 本当に私は何も考えずに死んでいただろう。,1,2
fr-ja,gpt3,1-3,Est-ce que je sais seulement encore lire ce qui s'appelle lire ?,もう、私は読むことさえできるのだろうか ―― 本当に読むということを。,1,3
fr-ja,gpt3,2-1,Entrez. Elle entre.,入ってください 彼女は入ってきた。,2,1
fr-ja,gpt3,1-2,"J'ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs.",すぐに懐かしい気持ちが湧いてきた。 それは、まだ家が小さくて、廊下で足首だけで女の子を見分けられる時代の想い出だった。,1,2
fr-ja,gpt3,1-2,"Elle est assez décoiffée, me semble-t-il, trouée au jean, colorée du reste.",彼女はかなり髪型が乱れているように思える。 ジーンズに穴があき、他のところは色が褪せている。,1,2
fr-ja,gpt3,1-4,"C'est monsieur Meunier, le grand patron, qui m'a dit de... Le grand patron ? Meunier ? Vous ne le connaissez pas ?",失礼な質問であれば申し訳ありませんが 大きな上司のミュニエ氏が、私に。。。 と言っていたのです 最高の責任者? ミュニエ?,1,4
fr-ja,gpt3,0-1,,あなたは彼を知らないのですか?,0,1
fr-ja,gpt3,3-1,"Je préférerais organiser des concerts. Asseyez-vous. Il faut que j'y aille, c'est vendredi.",私はコンサートを開催することを好みます お座りください 行かなくてはならないんだ、今日は金曜日だからな。,3,1
fr-ja,gpt3,1-3,"Longtemps j'ai croisé les pieds dessus pour un peu de détente, d'élévation, pour un peu plus de sang au cerveau, maintenant, il m'arrive de plus en plus souvent d'y poser la tête, surtout le soir, surtout le vendredi soir.",長い間、少しの休息と高揚感を得るために、足を組んで座っていた。 頭の中に血液が流れるようになるためだ。 今では、夕方、特に金曜日の夜には、そこに頭をのせることがますます多くなってきた。,1,3
fr-ja,gpt3,1-2,"Je croise les bras sur le manuscrit ouvert et je pose ma tête dessus, le front sur l'avant-bras et la joue sur le texte frais.",私は開かれた原稿の上に腕を交差させ、頭をその上に乗せた。 前腕の上に額を、新鮮なテキストの上に頬を押し付けた。,1,2
fr-ja,gpt3,1-2,"J'écoute mon cœur, mon vieux cœur du vendredi, mon vieux cœur dans le silence de la maison.",私は自分の心を聞いている。 金曜日の古い心、家の静寂の中の古い心を。,1,2
fr-ja,gpt3,1-3,"À cette heure, tout le monde est parti, je reste seul à bord, rincé, parce que je n'ai pas le courage de dresser la tour des manuscrits que je dois emporter pour le week-end.",今はみんな出かけてしまった。 私だけが残されている。 週末に持っていく書類を整理しない勇気がないから、疲れ果てている。,1,3
fr-ja,nmt,2-1,Depuis combien d'années ai-je arrêté de sauter de joie à l'idée que j'allais découvrir un chef-d'œuvre et rentrer au bureau le lundi en étant un homme neuf ? Vingt ans ?,傑作を発見し、月曜日に新しい男がオフィスに戻ってくるという考えに、喜びに飛びつくのをやめたのは何年前ですか?,2,1
fr-ja,nmt,1-3,"On dirait : "" Il est mort comme il a vécu, parmi les livres, en lisant ! "" et, en vérité, je serais mort en rêvant à rien.",彼は本を読みながら生きながら死んだ! と言う人もいるでしょう。 実のところ、私は何も夢見て死んでいたでしょう。,1,3
fr-ja,nmt,1-4,"C'est monsieur Meunier, le grand patron, qui m'a dit de... Le grand patron ? Meunier ? Vous ne le connaissez pas ?",大ボスのムッシュ・ムニエが教えてくれたのは。。。 ビッグボス? ミラー? あなたは彼を知りませんか?,1,4
fr-ja,nmt,1-2,"Ben, c'est une liseuse, un eBook, un iPad, je ne sais pas, moi.",まあ、それは電子書籍リーダー、電子ブック、iPad です。 わかりません。,1,2
