langs,system,n2m,source,target,n2mS,n2mT
fr-pl,human,1-2,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","Dzie­ci nie słu­cha­ły i gdy tyl­ko po­zwo­lo­no im odejść od sto­łu, nie cze­ka­ły ani chwi­li. Ko­rzy­sta­jąc z ogól­ne­go do­bre­go na­stro­ju pa­nu­ją­ce­go w dniach świą­tecz­nych, od­da­wa­ły się za­ka­za­nym za­ba­wom, ska­ka­ły po łóż­kach i huś­ta­ły się gło­wą w dół.",1,2
fr-pl,human,1-2,"À côté du temps fabuleux dont ils n'ordonneraient pas avant longtemps les épisodes, la Débâcle, l'Exode, l'Occupation, le Débarquement, la Victoire ils trouvaient terne celui, sans nom, où ils grandissaient.","W po­rów­na­niu z ba­śnio­wym cza­sem któ­re­go po­szcze­gól­nych epi­zo­dów dłu­go jesz­cze nie bę­dą umia­ły upo­rząd­ko­wać, Od­wrót, Uciecz­ka, Oku­pa­cja, Lą­do­wa­nie, Zwy­cię­stwo ten bez­i­mien­ny czas, w któ­rym wzra­sta­ły, wy­da­wał się im po­zba­wio­ny wy­ra­zu.",1,2
fr-pl,human,1-2,"Une autre photo, signée du même photographe mais le papier du livret est plus ordinaire et le liseré d'or a disparu —, sans doute vouée à la même distribution familiale, montre une petite fille d'environ quatre ans, sérieuse, presque triste malgré une bonne bouille rebondie sous des cheveux courts, séparés par une raie au milieu et tirés en arrière par des barrettes auxquelles sont attachés des rubans, comme des papillons.","In­ne zdję­cie, sy­gno­wa­ne przez te­go sa­me­go fo­to­gra­fa lecz pa­pier w al­bu­mie jest bar­dziej po­spo­li­ty i zło­ta la­mów­ka znik­nę­ła z pew­no­ścią rów­nież prze­zna­czo­ne do ro­dzin­nej dys­try­bu­cji, uka­zu­je ma­łą, oko­ło czte­ro­let­nią dziew­czyn­kę, po­waż­ną, pra­wie smut­ną po­mi­mo py­za­tej bu­zi. Wło­sy ma krót­kie, roz­dzie­lo­ne prze­dział­kiem i ścią­gnię­te do ty­łu spin­ka­mi, do któ­rych przy­cze­pio­no wstąż­ki przy­po­mi­na­ją­ce mo­ty­le.",1,2
fr-pl,human,1-2,"Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante.","Na dru­gim pod­no­si le­wą piąst­kę. Pra­wą przy­trzy­mu­je w swo­jej dło­ni wy­so­ki męż­czy­zna w ja­snym gar­ni­tu­rze i spodniach w kant, non­sza­lanc­ko sto­ją­cy obok.",1,2
fr-pl,gpt4,2-1,"Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue. Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","Psy swobodnie spacerowywały i rozmnażały sie teraz nawet pośrodku ulicy.', Dzieci nie słuchały i spieszyły się opuścić stół, jak tylko dostawały na to pozwolenie, korzystając z ogólnej życzliwości świątecznych dni, aby oddać się zabronionym grom, skakać na łóżkach i huśtać się do góry nogami.",2,1
fr-pl,gpt3,1-2,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","Porównując, zaczęli mówić o poprzedniej wojnie, o Wielkiej Wojnie, wojnie z 1914 roku, która zakończyła się krwią i chwałą. Kobiety przy stole słuchały z szacunkiem opowieści o wojnie mężczyzn.",1,2
fr-pl,gpt3,1-2,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable.","Fotografie, które przechodziły z rąk do rąk, były przybrudzone i zabrudzone od wszystkich palców, które je trzymały w innych okazjach. Mieszanka kawy i tłuszczu, topiąca się w nieokreślonym kolorze, znajdowała się na ich odwrocie.",1,2
fr-pl,llama,2-1,"Les deux photos ont été prises le même jour devant un muret surmonté d'une bordure de fleurs, dans une cour pavée. Au-dessus des têtes passe une corde à linge sur laquelle une épingle est restée accrochée.","Oba zdjęcia zostały zrobione tego samego dnia przed murkiem, na którym znajduje się kwiatowa bordiura,a powyżej głów przebiega linia do powieszenia bielizny z zawieszonym haczykiem.",2,1
ja-pl,human,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Następnego dnia zazwyczaj musiałam iść do pracy, więc czasami te spotkania były mi trochę nie na rękę, ale jej dom był dla mnie jedynym poza konbini miejscem do interakcji z prawdziwym życiem. Poza tym kontakt z innymi kobietami w moim wieku był nie do przecenienia dlatego starałam się zawsze przyjmować zaproszenia Miho.",1,2
ja-pl,human,1-2,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Tego dnia spotkałyśmy się we cztery: Miho, Yukari z dzieckiem, Satsuki, która była po ślubie, ale nie miała dzieci, i ja. Piłyśmy herbatę, jedząc przyniesione przez nas słodkości.",1,2
ja-pl,human,1-2,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Kontynuowaliśmy szkolenie przez dwa tygodnie, które pozostały do otwarcia. Ćwiczyliśmy w parach, z prowadzącym albo udawaliśmy, że rozmawiamy z klientem.",1,2
ja-pl,human,1-2,お客様の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Musieliśmy pamiętać, by kłaniać się z uśmiechem, gdy tylko napotkamy jego spojrzenie. Kobiece środki higieniczne należało wkładać do papierowej torebki, zimne i ciepłe artykuły pakować osobno, a przed podaniem fast foodów koniecznie odkazić ręce sprejem z alkoholem.",1,2
ja-pl,human,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja o dwa lata młodsza siostra była normalna, nie to co ja. Nie trzymała się jednak na dystans, wręcz przeciwnie lgnęła do mnie.",1,2
ja-pl,human,3-1,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私にありがとうと言った。 お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。 そのため、妹はいつも私についてまわっていた。,Mama przerywała wtedy kazanie.,3,1
ja-pl,human,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Tata lubi pieczonego kurczaka, a kurczak to ptak, więc dzisiaj upieczmy i zjedzmy tego! wymówiłam wyraźnie, myśląc, że mnie nie zrozumiała. Mama osłupiała, kobieta obok niej chyba też była zaskoczona, bo nagle otworzyła szeroko oczy i usta, nawet dziurki w nosie miała większe niż przedtem.",1,2
ja-pl,human,1-2,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,"Zachciało mi się śmiać, bo zabawnie wyglądała, ale zobaczyłam, że wpatruje się w moje ręce. Wtedy zrozumiałam, o co chodzi przecież jeden ptaszek to za mało.",1,2
ja-pl,human,1-3,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。,"Rzuciłam okiem na dwa czy trzy wróble, które skakały po ziemi niedaleko. Wtedy mama wreszcie doszła do siebie. Keiko! zawołała wzburzona.",1,3
ja-pl,human,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,"Przecież dla nas dobrze, że nie żyje. Mamie zabrakło słów.",1,2
ja-pl,human,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"A, i jeszcze papierosy, piątkę. Oczywiście. W mgnieniu oka wyciągnęłam paczkę mentolowych marlboro lightów i zeskanowałam ich kod.",1,3
ja-pl,gpt4,1-2,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートにはトレーニングと大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"Do kas fiskalnych wkładano prawdziwe pieniądze dla lepszego przyzwyczajenia się do ich obsługi. Chociaż na paragonach był wyraźnie napisane ""trening"", a naszymi ""klientami"" byli koledzy z pracy w tym samym mundurze, cała sytuacja przypominała trochę zabawę w sklep.",1,2
ja-pl,gpt4,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja młodsza o dwa lata siostra była ""normalnym"" dzieckiem, różniącym się ode mnie. Nie to jednak, że unikała mnie, wręcz przeciwnie darzyła mnie czułością.",1,2
ja-pl,gpt4,1-4,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tato, lubisz przegrzewane kurczaki, więc dzisiaj ugotujmy i zjedzmy to"". Czy mogłem go słabo usłyszeć, powtórzyłem wyraźnie swoją wymowę, a moja matka była zaskoczona. Czy inne dzieci obok ich matek były również zaskoczone? Ich oczy, nozdrza i usta otworzyły się na raz.",1,4
ja-pl,gpt4,2-1,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。 小鳥さんはね、お墓をつくって埋めてあげよう。,"Spojrzałem krótko na dwa lub trzy wróble kroczące obok siebie i moja matka wraca do siebie: ""Keiko!"" piszczała desperacko jakby chciała mnie zganić -""Zamiast tego zakopmy małego ptaszka w grobie.",2,1
ja-pl,gpt4,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,"Przecież już nie żyje...."" Na moje pytanie matka zapadła w milczenie.",1,2
ja-pl,gpt4,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Aha, poproszę jeszcze o paczkę papierosów numer 5."" ""Rozumiem."" Szybko wyjmuje paczkę Marlboro Light Menthol i skanuje ją na kasie.",1,3
ja-pl,gpt3,1-2,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miho wyszła za mąż i kupiła stary, jednorodzinny dom w swoim rodzinnym mieście. Przychodzą tam często jej znajomi.",1,2
ja-pl,gpt3,1-2,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj byłyśmy tam w czwórkę Miho, Yukari z małym dzieckiem, Satsuki, która wyszła za mąż, ale jeszcze nie ma dzieci, i ja. Przyniosłyśmy ciasto i piłyśmy herbatę w domu Miho.",1,2
ja-pl,gpt3,1-2,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートにはトレーニングと大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie była prawdziwa gotówka, ale na paragonie widniało wielkimi literami ""Trening"", a klienci to byli nasi koledzy z pracy, ubrani w ten sam mundur. W pewnym sensie była to zabawa w zakupy.",1,2
ja-pl,gpt3,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moje młodsze o dwa lata siostra była inna niż ja ""normalna"". Nie unikała mnie, wręcz przeciwnie, podziwiała mnie.",1,2
ja-pl,gpt3,1-3,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Tato, lubię kurczaki, więc dzisiaj upiekę tego i zjem powiedziałem. Mama nie usłyszała, więc powtórzyłem wyraźniej. Matka sąsiadki, która siedziała obok, zdziwiła się tak bardzo, że otworzyła szeroko oczy, nozdrza i usta.",1,3
ja-pl,gpt3,2-1,いらっしゃいませ、おはようございます! 軽い会釈をして、男性客が差し出した缶コーヒーを受け取る。,"Dzień dobry, witam serdecznie! powiedziałem, przyjmując puszkę coli od mężczyzny.",2,1
ja-pl,gpt3,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"A, i jeszcze jedną paczkę papierosów numer pięć dodał. Tak jest odparłem. Szybko wyciągnąłem Marlboro Lights Menthol i zeskanowałem w kasie.",1,3
ja-pl,gpt3,1-2,何かおとりしますか?と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"Gdy zdałem sobie sprawę, że zastanawia się, czy coś kupić, cofnąłem się o krok i czekałem. Czy coś jeszcze dla pana? mógłbym zapytać, ale w takich sytuacjach zazwyczaj pozostawałem w bezruchu.",1,2
ja-pl,gpt3,2-1,案の定、缶コーヒーを片手に持ち、もう片方の手をポケットに突っ込んだままレジに近付いている男性がいた。 素早く店内を移動してレジカウンターの中に身体をすべりこませ、客を待たせないように中に立って待機する。,"Jak się spodziewałem, zobaczyłem mężczyznę z puszką kawy w jednej ręce, a drugą w kieszeni, szybko przemierzającego sklep i wskakującego za ladę, żeby nie trzymać klientów w niecierpliwości.",2,1
ja-pl,gpt3,3-1,客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。 店員の掛け声に、バーコードをスキャンする音。 かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。,"Dzwonek sygnalizujący wejście klientów, głosy idolki reklamującej nowe produkty w radiu, głosy sprzedawców, dźwięk skanowania kodów kreskowych, dźwięk wkładania produktów do koszyka, dźwięk chwytania torebki z pieczywem, odgłosy obcasów krążących po sklepie.",3,1
ja-pl,llama,1-2,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miko obecnie mieszka w małym, starym domu na przedmieściach, który kupił razem z mężem. Ma tam dość dużo kolebek, które często odwiedzają.",1,2
ja-pl,llama,1-4,お客様の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Praktykowaliśmy różne scenariusze, w których odgrywaliśmy role sprzedawców i klientów, a także ćwiczyliśmy się w obsłudze klientów. Byliśmy zobowiązani do patrzenia na klientów i używania odpowiednich gestów, takich jak uśmiechnięcie się i ukłony. Trenowaliśmy również, jak najlepiej umieścić produkty w koszykach i jak sprzedawać je klientom. W praktyce używaliśmy także alkoholu do dezynfekcji rąk, gdy sprzedawaliśmy fast food.",1,4
ja-pl,llama,1-2,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートにはトレーニングと大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W celu zapoznania się z praktycznymi aspektami pracy, mieliśmy również dostęp do autentycznych pieniędzy, które były przechowywane w kasie. Na recepcji byli zawsze znamienieni znakiem ""Trening"" i byliśmy zobowiązani do robienia coś, co wyglądało na sprzedaż, ale w rzeczywistości byliśmy tylko studentami w tej szkole.",1,2
ja-pl,llama,2-1,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいてどうして怒っているの?と理由を尋ねた。 私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私にありがとうと言った。,"Kiedy moja siostra została zganiona przez matkę za normalne rzeczy a ja zbliżyłem się do matki pytając ""Dlaczego jesteś zła?"", moja siostra zawsze dziękowała mi po skończonej reprymendzie, myśląc chyba, że ją obroniłem.",2,1
ja-pl,llama,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tata, lubię kurczaka, dlatego dziś będę go gotować i jeść."" powtarzam, ale bez emocji, co powoduje, że matka jest zaskoczona i otwiera usta, nosa i oczy na maksymalną wielkość. Inna kobieta, która siedziała obok, także się zadziwia.",1,2
ja-pl,llama,2-3,ほら、皆も泣いてるよ。 お友達が死んじゃって寂しいね。,"Jego przyjaciele również płaczą. Jestem samotna. Jestem smutna.""",2,3
ja-pl,llama,1-0,ね、かわいそうでしょう?,,1,0
ja-pl,llama,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,"Bo już umarł?"" pytająco. Matka milczy.",1,2
ja-pl,llama,2-1,その間、ポケットの中の小銭を鳴らしていた男性が、ふと思いついたように胸ポケットに手を入れる。 その仕草から、電子マネーで支払をするのだなと咄嗟に判断する。,"W tym czasie, mężczyzna, który dzwonił w kieszenie swojej kurtki, wkroczył rękę do kieszeni na piersi, co sugerowało, że zapłacił elektronicznie.",2,1
ja-pl,llama,1-2,掌やポケットの中で小銭を鳴らしている人は、煙草か新聞をさっと買って帰ろうとしている人が多いので、お金の音には敏感だ。,"Często ludzie, którzy szukają drobnych pieniędzy w kieszeni lub w dłoni, chcą szybko kupić papierosa lub gazetę i wrócić do domu. Dlatego też jestem wrażliwy na ten dźwięk.",1,2
ja-pl,llama,3-1,客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。 店員の掛け声に、バーコードをスキャンする音。 かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。,"Dźwięk chimes sygnalizujący wejście klienta, transmitowany w radiowym broadcastzie nowych produktów przez idola, głos pracownika sklepu, dźwięk skanowania kodów kreskowych, dźwięk wkładania produktów do kosza, szum papieru zostaje uchwycony, a także dźwięk kroków klienta, których nie usłyszymy.",3,1
ja-pl,llama,1-2,特にお菓子の食べ方が似ていて、二人ともネイルを施した手でクッキーを小さく割りながら口に運んでいる。,"Szczególnie podobny jest ich sposób jedzenia ciast. Oboje trzymają nalepki na dłoniach, a następnie rozbijają je na małe kawałki, zanim dostają do ust.",1,2
de-ja,human,1-2,"Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt.",だがさらに悪いのは、何も忘れないことだ。 知ることは、まず忘れることによって生み出されるからだ。,1,2
de-ja,human,1-4,"Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen.""",彼女はアッティカの軍司令官、テミストクレスの亡霊だ。 テミストクレスは故郷の町の住人全員の名前を言えたといい、記憶術者シモニデスに、自分が学びたいのは記憶術よりむしろ忘却術だと伝えたという。 記憶に留めておきたいことでなくても、私は覚えていることができる。 だが忘れたいことを忘れることができないしかし、忘却術というのはあり得ない技術だ。,1,4
de-ja,human,1-2,"Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen.",なぜならすべての文字は存在を表しているからだ。 たとえそれが不在を示す文字であろうと。,1,2
de-ja,human,1-2,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz.",自死は、未来の不確実性に打ち勝つためのもっともラディカルな手段のように映るのかもしれない。 もちろん生存を短くすることと引き換えにだ。,1,2
de-ja,human,1-2,"Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht.",言い伝えによれば、アウグストウス帝がかつてサモス島でインドの使節から贈られた献上品の中に、トラ一頭、手の代わりに足を器用に使える腕のない少年、そしてバラモン階級出身のザルマノケガスという名の男がいた。 彼はそれまでの人生が望み通り運んできたというまさにその理由で、自ら命を絶とうとしていた。,1,2
de-ja,human,1-3,"Um sicherzustellen, dass ihm nicht doch noch etwas Unvorhergesehenes zustieß, sprang er in Athen lachend, nackt und gesalbt ins Feuer, verbrannte zweifellos qualvoll bei lebendigem Leib und ging mit der Inszenierung seines selbstbestimmten Todes in die Geschichte ein, wenn auch nur als kuriose Anekdote in einem Band jener einst achtzig Bücher umfassenden Römischen Geschichte des Cassius Dio, dessen Inhalt zufällig überliefert wurde.",今後予想外のことに遭遇しないことを確定するために、彼はアテネで身体を香油で清め、全裸で笑いながら炎の中に身を投げた。 こうして彼は間違いなく苦しみに満ちた焼死を遂げ、自ら決めた死の演出とともに、歴史の一部になった。 かって八十巻から成っていたカッシウス・ディオの『ローマ史』の一冊に出てくる奇妙な逸話として、その内容が偶然後世に伝えられたにすぎないにせよ。,1,3
de-ja,human,1-2,"Die Frage, was wohl werden wird, dürfte kaum jünger sein als die Menschheit selbst, besteht doch eine so unabdingbare wie beunruhigende Eigenschaft der Zukunft darin, dass sie sich der Vorhersehbarkeit entzieht und damit auch Zeitpunkt und Umstände des Todes im Dunkeln lässt.",未来はどうなるのだろう、という問いは人類そのものと同じくらい古い。 だが変えようのない、私たちを不安にする未来の特徴とは、それが予測可能性の外にあり、したがって死がいつどのような状況で訪れるのかも闇の中だということにある。,1,2
de-ja,human,1-2,"Wer kennt nicht den Abwehrzauber des süßbittren Vorausleidens, den fatalen Drang, das Befürchtete durch gedankliche Vorwegnahme verhindern zu wollen?",甘くて苦い苦悩の先取という防御魔法を知らない者がいるだろうか。 心の中で先取りすることで、恐れていることを防ぎたいという抑えがたい衝動を。,1,2
de-ja,human,1-4,"In der Antike versprachen die Träume Trost, sagten die Griechen ihnen doch nach, sie verhießen, Orakeln gleich, das Kommende und nähmen somit der Zukunft zwar nicht das Unabänderliche, wohl aber den Schrecken des Unerwarteten.",古代において、夢は慰めを約束するものだった。 ギリシャ人たちはそう言いふらした。 夢は神のお告げと同じように、来るべきものを予告してくれる。 それによって未来を変えることはできないが、予想外の出来事に驚かされることは防げる。,1,4
de-ja,human,2-3,"Es war in Thessalien, wo im frühen vorchristlichen 5. Jahrhundert ein einstürzendes Haus eine ganze Festtagsgesellschaft unter sich begrub und es dem einzigen Uberlebenden, dem Dichter Simonides von Keos, dank seines geschulten Gedächtnisses gelang, das zerstörte Gebäude im Geiste erneut zu betreten und die Sitzordnung der Gäste aufzurufen, woraufhin sich die von den Trümmern entstellten Leichen identifizieren ließen.",紀元前五世紀初頭、ギリシャのテッサリア地方で家屋が倒壊し、祝宴に集まっていた人々が下敷きになった。 唯一の生存者であったケオス島の詩人シモニデスは、その訓練された記憶の力を借りて、記憶の中であらためて倒壊した建物内に入り、来賓たちの席順を読み上げることに成功した。 おかげで瓦礫に埋もれ変わり果てた遺体の身元を確認することができた。,2,3
de-ja,human,1-2,"Es gehört zu den zahlreichen Paradoxien, die dem Entweder-oder von Tod und Leben innewohnen, dass, indem der Verstorbene als etwas unwiederbringlich Verlorenes benannt wird, sich die Trauer über seinen Verlust zugleich verdoppelt und halbiert, wohingegen das im Unklaren liegende Schicksal eines Vermissten oder Verschollenen die Angehörigen in einem diffusen Alptraum aus banger Hoffnung und verwehrter Trauer gefangenhält, der sowohl Aufarbeitung als auch Weiterleben verhindert.",死者が二度と取り戻せない失われた者と呼ばれることで、その喪失の悲しみは倍になると同時に半分にもなるというのは、生か死かの二者択一に内在する多数のパラドックスの一つだ。 それに対して、行方不明者や失踪者の曖味な運命は、胸苦しい希望と禁じられた弔いの悪夢の中にその家族を封じこめ、その体験を乗り越えることも、人生を先に進めることも困難にする。,1,2
de-ja,human,1-2,"Die Zäsur des Todes ist der Ausgangspunkt von Erbe und Erinnerung und die Totenklage die Quelle jeder Kultur, mit der man die nun klaffende Leerstelle, die plötzliche Stille mit Gesängen, Gebeten und Geschichten füllt, in denen das Abwesende noch einmal verlebendigt wird.",死という節目は、遺産と追憶の出発点であり、死者を悼む行為はあらゆる文化の源である。 それはぼっかりと口をあいた空白、突然襲った静寂を歌や祈りや物語で埋めようとする行為で、その時死者はもう一度甦る。,1,2
