lang,system,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio,file
en-pl,gpt4hum,62,1,0.016129032258064516,0.35728346471776945,0,1,0.0,0.016129032258064516,en-pl.sent.gpt4hum.merged.3
en-pl,gpt3,62,1,0.016129032258064516,0.37846363065063904,0,1,0.0,0.016129032258064516,en-pl.sent.gpt3
en-pl,nmt,62,1,0.016129032258064516,0.33814625366260753,0,1,0.0,0.016129032258064516,en-pl.sent.nmt
en-ja,gpt4hum,71,5,0.07042253521126761,0.3942807372528146,1,4,0.014084507042253521,0.056338028169014086,en-ja.sent.gpt4hum.merged.1
en-ja,gpt4hum,71,4,0.056338028169014086,0.4056347723077701,1,3,0.014084507042253521,0.04225352112676056,en-ja.sent.gpt4hum.merged.2
en-ja,gpt4hum,71,5,0.07042253521126761,0.4241139095025004,1,4,0.014084507042253521,0.056338028169014086,en-ja.sent.gpt4hum.merged.3
en-ja,gpt3,69,11,0.15942028985507245,0.37682680004275926,4,7,0.057971014492753624,0.10144927536231885,en-ja.sent.gpt3
en-ja,nmt,68,9,0.1323529411764706,0.41699345514894426,5,4,0.07352941176470588,0.058823529411764705,en-ja.sent.nmt
ru-en,gpt4hum,70,1,0.014285714285714285,0.17825605433799954,0,1,0.0,0.014285714285714285,ru-en.sent.gpt4hum.merged.1
ru-en,gpt4hum,70,0,0.0,0.19212686909529586,0,0,0.0,0.0,ru-en.sent.gpt4hum.merged.2
ru-en,gpt4hum,70,0,0.0,0.1854207881840387,0,0,0.0,0.0,ru-en.sent.gpt4hum.merged.3
ru-en,gpt3,69,2,0.028985507246376812,0.17748123256898454,1,1,0.014492753623188406,0.014492753623188406,ru-en.sent.gpt3
ru-en,nmt,69,1,0.014492753623188406,0.1895257711253858,1,0,0.014492753623188406,0.0,ru-en.sent.nmt
de-ja,gpt4hum,37,19,0.5135135135135135,0.1174197345671767,2,17,0.05405405405405406,0.4594594594594595,de-ja.sent.gpt4hum.merged.1
de-ja,gpt4hum,35,19,0.5428571428571428,0.12685476475293866,4,15,0.11428571428571428,0.42857142857142855,de-ja.sent.gpt4hum.merged.2
de-ja,gpt4hum,35,19,0.5428571428571428,0.12407209078965487,3,16,0.08571428571428572,0.45714285714285713,de-ja.sent.gpt4hum.merged.3
de-ja,gpt3,38,16,0.42105263157894735,0.13046865282353756,1,15,0.02631578947368421,0.39473684210526316,de-ja.sent.gpt3
de-ja,nmt,39,16,0.41025641025641024,0.1307324459583773,0,16,0.0,0.41025641025641024,de-ja.sent.nmt
ja-en,gpt4hum,42,8,0.19047619047619047,0.14623492876359512,1,7,0.023809523809523808,0.16666666666666666,ja-en.sent.gpt4hum.merged.1
ja-en,gpt4hum,43,5,0.11627906976744186,0.17759546561682327,0,5,0.0,0.11627906976744186,ja-en.sent.gpt4hum.merged.2
ja-en,gpt4hum,43,7,0.16279069767441862,0.14421429472796488,0,7,0.0,0.16279069767441862,ja-en.sent.gpt4hum.merged.3
ja-en,gpt3,42,5,0.11904761904761904,0.16766787480798484,0,5,0.0,0.11904761904761904,ja-en.sent.gpt3
ja-en,nmt,43,7,0.16279069767441862,0.1982520257464097,0,7,0.0,0.16279069767441862,ja-en.sent.nmt
de-en,gpt4hum,74,11,0.14864864864864866,0.10989005712943703,0,11,0.0,0.14864864864864866,de-en.sent.gpt4hum.merged.1
de-en,gpt4hum,74,14,0.1891891891891892,0.1011768106746066,0,14,0.0,0.1891891891891892,de-en.sent.gpt4hum.merged.2
de-en,gpt4hum,74,13,0.17567567567567569,0.09647883287092508,0,13,0.0,0.17567567567567569,de-en.sent.gpt4hum.merged.3
de-en,gpt3,74,15,0.20270270270270271,0.1056429529866787,1,14,0.013513513513513514,0.1891891891891892,de-en.sent.gpt3
de-en,nmt,74,8,0.10810810810810811,0.12879301339287583,1,7,0.013513513513513514,0.0945945945945946,de-en.sent.nmt
zh-en,gpt4hum,65,4,0.06153846153846154,0.1273281601095599,0,4,0.0,0.06153846153846154,zh-en.sent.gpt4hum.merged.1
zh-en,gpt4hum,65,3,0.046153846153846156,0.13966951830043745,0,3,0.0,0.046153846153846156,zh-en.sent.gpt4hum.merged.2
zh-en,gpt4hum,65,4,0.06153846153846154,0.13909298502653325,0,4,0.0,0.06153846153846154,zh-en.sent.gpt4hum.merged.3
zh-en,gpt3,63,6,0.09523809523809523,0.13059030386200587,2,4,0.031746031746031744,0.06349206349206349,zh-en.sent.gpt3
zh-en,nmt,63,3,0.047619047619047616,0.13783101349581953,2,1,0.031746031746031744,0.015873015873015872,zh-en.sent.nmt
de-pl,gpt4hum,65,6,0.09230769230769231,0.16754883827941014,4,2,0.06153846153846154,0.03076923076923077,de-pl.sent.gpt4hum.merged.1
de-pl,gpt4hum,67,6,0.08955223880597014,0.14830943923731793,3,3,0.04477611940298507,0.04477611940298507,de-pl.sent.gpt4hum.merged.2
de-pl,gpt4hum,68,7,0.10294117647058823,0.17908025405134853,3,4,0.04411764705882353,0.058823529411764705,de-pl.sent.gpt4hum.merged.3
de-pl,gpt3,68,10,0.14705882352941177,0.13448770046445818,2,8,0.029411764705882353,0.11764705882352941,de-pl.sent.gpt3
de-pl,nmt,66,6,0.09090909090909091,0.1305174921519232,3,3,0.045454545454545456,0.045454545454545456,de-pl.sent.nmt
