lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observations,file
en-pl,nmt,651,229,0.3483903084868527,0.18022989541980391,10,en-pl.sent.nmt
fr-en,nmt,1403,1085,0.6604499579867513,0.44976803666833,10,fr-en.sent.nmt
fr-ja,nmt,602,968,1.3770295889500177,0.9046358615897268,10,fr-ja.sent.nmt
fr-pl,nmt,1142,883,0.7480245658141312,0.39749890910405433,10,fr-pl.sent.nmt
ja-en,nmt,573,802,1.4444673124265264,0.29272687898158534,10,ja-en.sent.nmt
ja-pl,nmt,529,887,1.6247993494447566,0.40351214981338757,10,ja-pl.sent.nmt
pl-en,nmt,1276,891,0.6809206528666231,0.30984631577491045,10,pl-en.sent.nmt
pl-ja,nmt,672,1014,1.5369952840266152,0.6558226233367208,10,pl-ja.sent.nmt
ru-en,nmt,977,720,0.6989430508221522,0.2883400315200942,10,ru-en.sent.nmt
ru-ja,nmt,854,1079,1.2042155794439038,0.5490767715942385,10,ru-ja.sent.nmt
ru-pl,nmt,1509,1215,0.7206739992063492,0.321959991993921,10,ru-pl.sent.nmt
zh-en,nmt,628,520,0.7567930573536673,0.439207316982749,10,zh-en.sent.nmt
zh-ja,nmt,825,936,1.134205487903847,0.39326387021683457,10,zh-ja.sent.nmt
