lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observations,file,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio
en-ja,gpt4hum,542,576,1.1290379440287854,0.5920014168494048,10,en-ja.sent.gpt4hum.merged.1,71,5,0.0704225352112676,0.3942807372528146,1,4,0.0140845070422535,0.056338028169014
en-ja,gpt4hum,536,589,1.2014236408607193,0.789431693872315,10,en-ja.sent.gpt4hum.merged.2,71,4,0.056338028169014,0.4056347723077701,1,3,0.0140845070422535,0.0422535211267605
en-ja,gpt4hum,534,581,1.1094878985918122,0.370549092866598,10,en-ja.sent.gpt4hum.merged.3,71,5,0.0704225352112676,0.4241139095025004,1,4,0.0140845070422535,0.056338028169014
en-pl,gpt4hum,633,504,0.6441992999902231,0.5166931130240783,10,en-pl.sent.gpt4hum.merged.1,62,1,0.0161290322580645,0.3692401899200435,0,1,0.0,0.0161290322580645
en-pl,gpt4hum,638,360,0.4882306438001782,0.5369160810159238,10,en-pl.sent.gpt4hum.merged.2,61,2,0.0327868852459016,0.3452158298808649,1,1,0.0163934426229508,0.0163934426229508
en-pl,gpt4hum,659,502,0.6565692305043307,0.6121477651418079,10,en-pl.sent.gpt4hum.merged.3,62,1,0.0161290322580645,0.3572834647177694,0,1,0.0,0.0161290322580645
fr-en,gpt4hum,1303,1212,0.8239199769054333,0.4667140257648475,10,fr-en.sent.gpt4hum.merged.1,57,0,0.0,0.167832956497189,0,0,0.0,0.0
fr-en,gpt4hum,1317,1184,0.7695294482120313,0.5736223517935172,10,fr-en.sent.gpt4hum.merged.2,57,0,0.0,0.1615692093715121,0,0,0.0,0.0
fr-en,gpt4hum,1279,1294,0.8868497805243525,0.6805052173610063,10,fr-en.sent.gpt4hum.merged.3,57,0,0.0,0.1580403063969934,0,0,0.0,0.0
fr-ja,gpt4hum,634,668,0.9795704893024691,0.4126743815947364,10,fr-ja.sent.gpt4hum.merged.1,74,23,0.3108108108108108,0.2264977392902834,12,11,0.1621621621621621,0.1486486486486486
fr-ja,gpt4hum,640,782,1.0523875640114857,0.5628069883971923,10,fr-ja.sent.gpt4hum.merged.2,74,15,0.2027027027027027,0.2619624522529226,8,7,0.1081081081081081,0.0945945945945946
fr-ja,gpt4hum,619,584,0.8588650351576399,0.3264672478278258,10,fr-ja.sent.gpt4hum.merged.3,78,14,0.1794871794871795,0.2954521169938399,6,8,0.0769230769230769,0.1025641025641025
fr-pl,gpt4hum,1193,823,0.6872534001890315,0.503402493967921,10,fr-pl.sent.gpt4hum.merged.1,57,3,0.0526315789473684,0.1568673649940909,0,3,0.0,0.0526315789473684
fr-pl,gpt4hum,1218,890,0.7243351106318244,0.3258045754101808,10,fr-pl.sent.gpt4hum.merged.2,57,0,0.0,0.1558088119626024,0,0,0.0,0.0
fr-pl,gpt4hum,1201,777,0.6615791245108168,0.3911363654688988,10,fr-pl.sent.gpt4hum.merged.3,57,1,0.0175438596491228,0.1759353792382817,0,1,0.0,0.0175438596491228
ja-en,gpt4hum,618,891,1.465164866672167,0.4111270129864777,10,ja-en.sent.gpt4hum.merged.1,42,8,0.1904761904761904,0.1462349287635951,1,7,0.0238095238095238,0.1666666666666666
ja-en,gpt4hum,591,768,1.3319667385564296,0.3859389615420521,10,ja-en.sent.gpt4hum.merged.2,43,5,0.1162790697674418,0.1775954656168232,0,5,0.0,0.1162790697674418
ja-en,gpt4hum,593,866,1.495653022426501,0.4193641060016451,10,ja-en.sent.gpt4hum.merged.3,43,7,0.1627906976744186,0.1442142947279648,0,7,0.0,0.1627906976744186
ja-pl,gpt4hum,554,908,1.6316152005285445,0.6371704221230248,10,ja-pl.sent.gpt4hum.merged.1,43,10,0.2325581395348837,0.1336256373311149,0,10,0.0,0.2325581395348837
ja-pl,gpt4hum,539,860,1.6029123489420514,0.4920251604537397,10,ja-pl.sent.gpt4hum.merged.2,43,11,0.2558139534883721,0.1239653306006561,0,11,0.0,0.2558139534883721
ja-pl,gpt4hum,548,825,1.5245276093000837,0.2198930574848399,10,ja-pl.sent.gpt4hum.merged.3,43,9,0.2093023255813953,0.1175998574230871,0,9,0.0,0.2093023255813953
pl-en,gpt4hum,1178,1090,0.903091938868339,0.493893668872689,10,pl-en.sent.gpt4hum.merged.1,69,3,0.0434782608695652,0.1772010770821057,0,3,0.0,0.0434782608695652
pl-en,gpt4hum,1215,1014,0.7573869382824149,0.5260426472906955,10,pl-en.sent.gpt4hum.merged.2,69,4,0.0579710144927536,0.1884443237977034,0,4,0.0,0.0579710144927536
pl-en,gpt4hum,1205,954,0.7349095628479286,0.4416513624665661,10,pl-en.sent.gpt4hum.merged.3,69,2,0.0289855072463768,0.1953565133547965,0,2,0.0,0.0289855072463768
pl-ja,gpt4hum,616,841,1.383389382373419,0.2330897566922266,10,pl-ja.sent.gpt4hum.merged.1,83,12,0.144578313253012,0.1938489755007421,1,11,0.0120481927710843,0.1325301204819277
pl-ja,gpt4hum,600,660,1.112354637124476,0.2943664222238882,10,pl-ja.sent.gpt4hum.merged.2,79,10,0.1265822784810126,0.1981090290281368,3,7,0.0379746835443038,0.0886075949367088
pl-ja,gpt4hum,635,922,1.4378596641215968,0.8249161538321628,10,pl-ja.sent.gpt4hum.merged.3,79,10,0.1265822784810126,0.189748970207288,2,8,0.0253164556962025,0.1012658227848101
ru-en,gpt4hum,944,682,0.720704478178661,0.279719278724415,10,ru-en.sent.gpt4hum.merged.1,70,1,0.0142857142857142,0.1782560543379995,0,1,0.0,0.0142857142857142
ru-en,gpt4hum,950,710,0.7480837515655094,0.3048783004637592,10,ru-en.sent.gpt4hum.merged.2,70,0,0.0,0.1921268690952958,0,0,0.0,0.0
ru-en,gpt4hum,971,778,0.7810058013153708,0.3205579601324473,10,ru-en.sent.gpt4hum.merged.3,70,0,0.0,0.1854207881840387,0,0,0.0,0.0
ru-ja,gpt4hum,878,1021,1.1539362611344646,0.3567748502768918,10,ru-ja.sent.gpt4hum.merged.1,89,8,0.0898876404494382,0.2307320086559338,2,6,0.0224719101123595,0.0674157303370786
ru-ja,gpt4hum,837,972,1.1376066612355364,0.3983395191526371,10,ru-ja.sent.gpt4hum.merged.2,88,6,0.0681818181818181,0.2402134338719221,2,4,0.0227272727272727,0.0454545454545454
ru-ja,gpt4hum,869,954,1.0782778089734075,0.2949346731129545,10,ru-ja.sent.gpt4hum.merged.3,87,10,0.1149425287356321,0.2416024164718797,4,6,0.0459770114942528,0.0689655172413793
ru-pl,gpt4hum,1585,833,0.4658217570154287,0.2216980951509554,10,ru-pl.sent.gpt4hum.merged.1,109,0,0.0,0.121490838974282,0,0,0.0,0.0
ru-pl,gpt4hum,1547,869,0.4584544073163388,0.349102371999756,10,ru-pl.sent.gpt4hum.merged.2,109,0,0.0,0.1298555140683166,0,0,0.0,0.0
ru-pl,gpt4hum,1543,1057,0.5119121756261664,0.5186455067413499,10,ru-pl.sent.gpt4hum.merged.3,109,0,0.0,0.1274703344543721,0,0,0.0,0.0
zh-en,gpt4hum,613,499,0.7448170536011037,0.4211030562580153,10,zh-en.sent.gpt4hum.merged.1,65,4,0.0615384615384615,0.1273281601095599,0,4,0.0,0.0615384615384615
zh-en,gpt4hum,611,452,0.6615402914630356,0.4182129718308632,10,zh-en.sent.gpt4hum.merged.2,65,3,0.0461538461538461,0.1396695183004374,0,3,0.0,0.0461538461538461
zh-en,gpt4hum,613,401,0.5922546482106081,0.3196509903831296,10,zh-en.sent.gpt4hum.merged.3,65,4,0.0615384615384615,0.1390929850265332,0,4,0.0,0.0615384615384615
zh-ja,gpt4hum,827,1244,1.4914101682277732,0.6029866429088979,10,zh-ja.sent.gpt4hum.merged.1,85,21,0.2470588235294117,0.2221826030902939,5,16,0.0588235294117647,0.188235294117647
zh-ja,gpt4hum,856,1305,1.5702461635173082,0.6627847896552906,10,zh-ja.sent.gpt4hum.merged.2,84,17,0.2023809523809523,0.2332498093472405,5,12,0.0595238095238095,0.1428571428571428
zh-ja,gpt4hum,850,1197,1.384607920842013,0.4206252975271801,10,zh-ja.sent.gpt4hum.merged.3,85,20,0.2352941176470588,0.2450098868204952,5,15,0.0588235294117647,0.1764705882352941
cs-pl,gpt3,1092,386,0.3660760183229178,0.2053503644634182,10,cs-pl.sent.gpt3,50,0,0.0,0.0996840186221612,0,0,0.0,0.0
de-en,gpt3,1392,1268,0.9048164617979156,0.3636131942286361,10,de-en.sent.gpt3,74,15,0.2027027027027027,0.1056429529866787,1,14,0.0135135135135135,0.1891891891891892
de-ja,gpt3,859,2483,2.580258689888299,1.0932809327901087,10,de-ja.sent.gpt3,38,16,0.4210526315789473,0.1304686528235375,1,15,0.0263157894736842,0.3947368421052631
de-pl,gpt3,1289,1135,0.8396219029467865,0.4256806409195154,10,de-pl.sent.gpt3,68,10,0.1470588235294117,0.1344877004644581,2,8,0.0294117647058823,0.1176470588235294
en-ja,gpt3,537,470,0.913034241336936,0.3158788773377583,10,en-ja.sent.gpt3,69,11,0.1594202898550724,0.3768268000427592,4,7,0.0579710144927536,0.1014492753623188
en-pl,gpt3,641,347,0.5097163530887774,0.3797737841910056,10,en-pl.sent.gpt3,62,1,0.0161290322580645,0.378463630650639,0,1,0.0,0.0161290322580645
fr-en,gpt3,1315,1247,0.8779442258147624,0.5443265411927738,10,fr-en.sent.gpt3,57,0,0.0,0.1412558671405242,0,0,0.0,0.0
fr-ja,gpt3,592,600,0.9041303200816564,0.4666854786305057,10,fr-ja.sent.gpt3,81,20,0.2469135802469135,0.2884464549492368,8,12,0.0987654320987654,0.1481481481481481
fr-pl,gpt3,1140,687,0.6387298863936409,0.3189705155439766,10,fr-pl.sent.gpt3,57,0,0.0,0.1720712185613811,0,0,0.0,0.0
ja-en,gpt3,595,813,1.3779697178332042,0.2800480711718754,10,ja-en.sent.gpt3,42,5,0.119047619047619,0.1676678748079848,0,5,0.0,0.119047619047619
ja-pl,gpt3,566,830,1.5194787674933927,0.2610549263114251,10,ja-pl.sent.gpt3,43,6,0.1395348837209302,0.144182100045865,0,6,0.0,0.1395348837209302
pl-en,gpt3,1231,958,0.7429506996774131,0.3284461811272231,10,pl-en.sent.gpt3,69,1,0.0144927536231884,0.2033342685707873,0,1,0.0,0.0144927536231884
pl-ja,gpt3,680,812,1.203719628512869,0.4419469261927773,10,pl-ja.sent.gpt3,73,19,0.2602739726027397,0.1728892858227171,5,14,0.0684931506849315,0.1917808219178082
ru-en,gpt3,933,652,0.6664468405686684,0.3288841590893984,10,ru-en.sent.gpt3,69,2,0.0289855072463768,0.1774812325689845,1,1,0.0144927536231884,0.0144927536231884
ru-ja,gpt3,903,943,1.0729609360848258,0.4355594512734428,10,ru-ja.sent.gpt3,80,15,0.1875,0.2146817344838202,9,6,0.1125,0.075
ru-pl,gpt3,1587,700,0.3478408839899264,0.2658146157249331,10,ru-pl.sent.gpt3,108,1,0.0092592592592592,0.124395770813615,1,0,0.0092592592592592,0.0
zh-en,gpt3,594,608,0.8962207328776604,0.6960202244695635,10,zh-en.sent.gpt3,63,6,0.0952380952380952,0.1305903038620058,2,4,0.0317460317460317,0.0634920634920634
zh-ja,gpt3,902,933,1.055844503514782,0.4959881302963949,10,zh-ja.sent.gpt3,91,18,0.1978021978021978,0.1937590028685206,1,17,0.0109890109890109,0.1868131868131868
cs-pl,nmt,1001,641,0.6033273305342665,0.4490719518286085,10,cs-pl.sent.nmt,50,2,0.04,0.0980281965821924,0,2,0.0,0.04
de-en_news,nmt,27129,24333,0.6181874963098278,0.688009279290886,549,de-en_news.sent.nmt,1723,140,0.0812536273940801,0.1334623290685692,23,117,0.0133488102147417,0.0679048171793383
de-en,nmt,1382,1187,0.8434401809893469,0.371469280897813,10,de-en.sent.nmt,74,8,0.1081081081081081,0.1287930133928758,1,7,0.0135135135135135,0.0945945945945946
de-ja,nmt,841,2708,2.938453932125035,1.2002194746943975,10,de-ja.sent.nmt,39,16,0.4102564102564102,0.1307324459583773,0,16,0.0,0.4102564102564102
de-pl,nmt,1221,1004,0.7787541690526533,0.1923331670695838,10,de-pl.sent.nmt,66,6,0.0909090909090909,0.1305174921519232,3,3,0.0454545454545454,0.0454545454545454
en-de_news,nmt,36344,34055,0.6785569181118812,0.6188186655828012,557,en-de_news.sent.nmt,2100,235,0.1119047619047619,0.190144263390236,107,128,0.0509523809523809,0.0609523809523809
en-ja,nmt,574,697,1.250884385648222,0.5451901273196976,10,en-ja.sent.nmt,68,9,0.1323529411764706,0.4169934551489442,5,4,0.0735294117647058,0.0588235294117647
en-pl,nmt,651,229,0.3483903084868527,0.1802298954198039,10,en-pl.sent.nmt,62,1,0.0161290322580645,0.3381462536626075,0,1,0.0,0.0161290322580645
fr-en,nmt,1403,1085,0.6604499579867513,0.44976803666833,10,fr-en.sent.nmt,57,1,0.0175438596491228,0.1630379510088437,0,1,0.0,0.0175438596491228
fr-ja,nmt,602,968,1.3770295889500177,0.9046358615897268,10,fr-ja.sent.nmt,83,7,0.0843373493975903,0.2321720055604492,5,2,0.0602409638554216,0.0240963855421686
fr-pl,nmt,1142,883,0.7480245658141312,0.3974989091040543,10,fr-pl.sent.nmt,57,2,0.0350877192982456,0.1306925081128324,0,2,0.0,0.0350877192982456
ja-en,nmt,573,802,1.4444673124265264,0.2927268789815853,10,ja-en.sent.nmt,43,7,0.1627906976744186,0.1982520257464097,0,7,0.0,0.1627906976744186
ja-pl,nmt,529,887,1.6247993494447566,0.4035121498133875,10,ja-pl.sent.nmt,43,5,0.1162790697674418,0.1465231550611455,0,5,0.0,0.1162790697674418
pl-en,nmt,1276,891,0.6809206528666231,0.3098463157749104,10,pl-en.sent.nmt,69,2,0.0289855072463768,0.1901299340115443,0,2,0.0,0.0289855072463768
pl-ja,nmt,672,1014,1.5369952840266152,0.6558226233367208,10,pl-ja.sent.nmt,82,14,0.1707317073170731,0.1638226683406234,2,12,0.024390243902439,0.1463414634146341
ru-en,nmt,977,720,0.6989430508221522,0.2883400315200942,10,ru-en.sent.nmt,69,1,0.0144927536231884,0.1895257711253858,1,0,0.0144927536231884,0.0
ru-ja,nmt,854,1079,1.2042155794439038,0.5490767715942385,10,ru-ja.sent.nmt,90,5,0.0555555555555555,0.276650372470297,0,5,0.0,0.0555555555555555
ru-pl,nmt,1509,1215,0.7206739992063492,0.321959991993921,10,ru-pl.sent.nmt,109,0,0.0,0.1312142152239399,0,0,0.0,0.0
zh-en,nmt,628,520,0.7567930573536673,0.439207316982749,10,zh-en.sent.nmt,63,3,0.0476190476190476,0.1378310134958195,2,1,0.0317460317460317,0.0158730158730158
zh-ja,nmt,825,936,1.134205487903847,0.3932638702168345,10,zh-ja.sent.nmt,89,13,0.146067415730337,0.2198101317526661,3,10,0.0337078651685393,0.1123595505617977
