"Language","System","Level","Cohen_d","t_statistic","p_value"
"fr-en","gpt4","Paragraph",-0.551089644432035,1.24775896055455,0.236326255628531
"ru-pl","gpt4","Paragraph",0.259702089146628,1.16919928200846,0.249924230232356
"fr-ja","gpt4","Sentence",-0.46112982485347,1.18088254006272,0.257709109715185
"pl-ja","gpt4","Paragraph",-0.389745445829828,1.15369933567844,0.264137057831886
"pl-ja","nmt","Sentence",0.469165067419221,1.07197680555942,0.301807677691781
"pl-en","gpt4","Paragraph",0.300874638529349,1.0168570688279,0.319557631581723
"de-ja","gpt4","Paragraph",0.337959712861149,1.01493364540838,0.323578972632248
"en-ja","gpt3","Sentence",-0.446739315115839,1.02073708635209,0.326187810311304
"en-ja","gpt4","Paragraph",0.320529864910061,0.993952266913404,0.332570801731862
"fr-en","gpt3","Paragraph",-0.430789381486342,0.984293710473565,0.338477704771367
"ja-pl","gpt4","Sentence",-0.385621728754964,0.979071118490913,0.344689330879588
"zh-en","gpt3","Paragraph",0.420358537902151,0.960460686318167,0.354577048425952
"cs-pl","gpt4","Paragraph",0.251826127512919,0.92771453472204,0.361118134916362
"fr-ja","gpt4","Paragraph",-0.324489510366609,0.926727926974579,0.367541598781073
"pl-ja","gpt3","Paragraph",0.384007877448196,0.877404492284466,0.394340935573867
"de-en","gpt4","Paragraph",0.285760567284051,0.814618573934374,0.427031834093039
"en-ja","gpt3","Paragraph",-0.34445231838413,0.787025551497459,0.443314001570235
"ja-pl","nmt","Sentence",-0.300179367492901,0.685868027707091,0.50216243453534
"fr-ja","nmt","Sentence",0.271247846377686,0.619763533279013,0.545294451452312
"zh-en","gpt3","Sentence",0.266334247480937,0.608536644461157,0.552692201417201
"de-en","gpt4","Sentence",-0.218732791127628,0.573519706045084,0.575261439428454
"zh-en","gpt4","Sentence",-0.200678139930356,0.563080475219208,0.581259107738054
"de-en","nmt","Sentence",-0.234176010639471,0.535059554209393,0.599278055585778
"ja-en","gpt3","Sentence",-0.231679156221496,0.529354589776191,0.60734469047072
"fr-ja","gpt3","Paragraph",-0.217376961842531,0.496676068489025,0.625441236773906
"pl-en","gpt4","Sentence",0.162804142194866,0.475470318913058,0.640486271494363
"pl-ja","gpt3","Sentence",-0.191555623790042,0.437677908986149,0.667020639821902
"ja-en","gpt4","Paragraph",-0.213025063931059,0.410345151202456,0.690030642898613
"zh-ja","gpt4","Paragraph",0.152118554741325,0.389906368921958,0.702581762067604
"en-ja","nmt","Sentence",0.161446072901955,0.368881780673811,0.716682369146366
"ja-en","gpt4","Sentence",-0.184403888693708,0.356643778106911,0.72859718777144
"ja-en","nmt","Sentence",-0.133604152817268,0.305266872775403,0.765924355245532
"pl-en","gpt3","Paragraph",-0.129199007541764,0.295201729634129,0.771268326544009
"pl-en","nmt","Sentence",-0.101263307818786,0.23137254832949,0.819922162995828
"pl-ja","gpt4","Sentence",0.0649530466254159,0.200460772352444,0.843243352101983
"de-en","gpt3","Sentence",-0.0846886713082794,0.193501813414,0.848786024203196
"ru-pl","nmt","Sentence",0.074617355844421,0.170490260916889,0.866527868801853
"cs-pl","nmt","Sentence",-0.0606170796051961,0.138501580509736,0.891856183289478
"pl-en","gpt3","Sentence",0.0575507136912783,0.131495361664076,0.896955742878719
"de-pl","gpt3","Paragraph",0.0560922394968745,0.12816295135376,0.899725316495815
"en-de_news","nmt","Sentence",-0.0062987772827368,0.105151480508374,0.916274765070488
"zh-en","nmt","Sentence",0.0306088848367684,0.069937036807849,0.94503323452293
"zh-en","gpt4","Paragraph",-0.0196827090851243,0.0678172350956361,0.946476764888362
"zh-ja","gpt4","Sentence",0.00664342109832837,0.0176658726354573,0.986146010533035
"en-ja","gpt4","Sentence",-0.00646963823821108,0.0167484405904251,0.986874653688976
"de-en","gpt3","Paragraph",0.00073023903101651,0.00166849443431476,0.998687360808058
